,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.46,0.83,0.43,0.15,0.2,0.22,0.39,0.41,0.37,0.67,0.86,0.47
aubit4gl.csv,0.08,0.33,0.21,0.0,0.67,0.04,0.11,0.01,0.59,0.13,0.71,0.17
liferea.csv,0.75,0.33,0.71,0.77,0.39,0.48,0.32,0.68,0.2,0.23,0.57,0.38
moving-pictures.csv,0.47,0.33,0.64,0.15,0.06,0.17,0.68,0.06,0.22,0.3,0.57,0.7
olex2.csv,0.46,0.5,0.64,0.54,0.63,0.43,0.32,0.74,0.31,0.5,0.57,0.67
opensim4opencog.csv,0.61,0.33,0.71,0.85,0.85,0.57,0.43,0.49,0.5,0.57,0.71,0.68
plearn.csv,0.69,0.67,0.5,0.15,0.02,0.35,0.32,0.1,0.59,0.37,0.57,0.53
psrchive.csv,0.58,0.83,0.79,0.69,0.83,0.52,0.5,0.68,0.8,0.5,0.86,0.58
re2c.csv,0.36,1.0,0.64,0.38,0.35,0.39,0.68,0.38,0.76,0.23,0.0,0.65
rebecca-aiml.csv,0.59,0.83,0.86,0.85,0.93,0.83,0.96,0.63,0.89,0.7,0.71,0.97
wxcode.csv,0.47,0.33,0.36,0.46,0.56,0.52,0.32,0.32,0.2,0.57,1.0,0.35
xfce.csv,0.59,0.5,0.71,0.54,0.41,0.83,0.79,0.69,0.7,0.83,0.29,0.72
