,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.82,0.79,0.72,0.54,0.61,0.25,0.66,0.71,0.6,0.72,0.79
ikvm.csv,0.9,0.16,0.9,0.9,0.77,0.77,0.95,1.01,1.0,0.97,0.95
libtorrent.csv,0.68,0.72,0.78,0.67,0.83,0.94,0.36,0.89,0.82,0.7,0.76
mcmc-jags.csv,0.59,0.75,0.89,0.21,0.75,0.82,0.63,0.47,0.47,0.64,0.76
moast.csv,0.88,0.81,1.0,1.0,1.0,1.0,0.81,1.0,1.0,0.51,0.05
olap-navigator.csv,0.15,0.67,0.46,0.5,0.52,0.24,0.65,0.47,0.58,0.37,0.83
pidgin.csv,0.74,0.73,0.64,1.0,0.38,0.43,0.75,0.49,0.63,0.72,0.5
salasaga.csv,0.79,0.74,0.78,0.61,0.5,0.63,0.69,0.62,0.39,0.51,0.9
sepgsql.csv,0.46,0.73,0.35,0.74,0.43,0.51,0.67,0.36,0.58,0.26,0.28
sigil.csv,0.34,0.77,0.74,0.87,0.67,0.6,0.5,0.25,0.75,0.59,0.76
xtreemfs.csv,0.4,0.65,0.81,0.56,0.89,0.7,0.63,0.49,0.65,0.29,0.38
