,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.82,0.65,0.63,0.5,0.64,0.57,0.72,0.87,0.81,0.0
geotools.csv,1.04,0.78,0.92,0.95,0.88,0.93,0.05,0.85,0.97,0.79
gephex.csv,0.92,0.72,0.63,0.74,0.76,0.64,0.55,0.01,0.8,0.75
haggle.csv,0.97,0.0,0.85,0.89,0.63,0.76,0.91,0.88,0.95,0.95
java-gnome.csv,0.8,0.61,0.63,0.0,0.66,0.45,0.68,0.77,0.82,0.72
jgnash.csv,0.92,0.69,0.12,0.89,0.65,0.93,0.79,0.83,0.94,0.75
jrdf.csv,1.0,0.91,0.64,0.49,0.82,0.0,0.6,0.86,0.88,0.68
mpqc.csv,0.05,0.68,0.87,0.83,0.81,0.82,0.75,0.67,0.9,0.77
panda3d.csv,0.8,0.9,0.96,0.73,0.1,0.94,0.91,0.84,0.83,0.81
tencompetence.csv,0.73,0.71,0.67,0.68,0.62,0.91,0.76,0.74,0.02,0.87
