,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,98.5,95.5,96.5,849.5,609.5,97.5,70.0,54.5,68.5,90.5
flylegacy.csv,98.5,194.0,95.5,1631.0,95.5,194.0,193.0,429.5,295.0,282.5
ftm.csv,98.5,95.5,98.5,493.0,96.5,274.5,89.5,366.0,191.0,181.0
jcache.csv,98.5,194.0,98.5,886.5,97.5,193.0,89.5,562.0,178.0,183.0
lphant.csv,98.5,194.0,98.5,492.0,98.5,196.0,351.0,178.0,295.0,373.0
minig.csv,98.5,194.0,95.5,885.0,97.5,97.5,193.0,562.0,22.5,90.5
mob-sen-plat.csv,192.0,95.5,98.5,886.0,98.5,196.0,280.5,464.5,295.0,375.0
raygina.csv,192.0,0.0,96.5,688.5,97.5,93.5,341.0,464.5,22.5,88.5
upp-mirror.csv,94.5,88.5,98.5,688.5,98.5,196.0,264.5,233.5,97.5,185.0
yarp.csv,91.5,0.0,81.5,1855.5,171.0,95.5,89.5,354.5,151.0,1969.0
