,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.42,0.45,0.52,0.32,0.46,0.22,0.04,0.7,0.89,0.86,1.0,0.0,0.14,0.33,0.66
badtrinity-zero.csv,0.65,0.0,0.66,0.0,0.36,0.08,0.04,0.0,0.74,0.0,0.94,0.77,0.18,0.69,0.71
biodwh.csv,0.68,0.77,0.79,0.47,0.45,0.12,0.08,0.78,0.92,0.92,1.0,1.0,0.42,0.82,0.73
critterding.csv,0.43,0.64,0.48,0.33,0.31,0.08,0.07,0.71,0.81,0.88,0.92,0.82,0.17,0.75,0.66
elateportal.csv,0.41,0.46,0.57,0.39,0.43,0.11,0.06,0.72,0.68,0.63,1.0,0.75,0.14,0.77,0.68
enzo.csv,0.4,0.43,0.5,0.35,0.29,0.08,0.09,0.75,0.68,0.93,0.88,0.71,0.14,0.61,0.68
factor.csv,0.33,0.64,0.57,0.42,0.57,0.12,0.0,0.48,1.0,0.14,0.86,0.87,0.14,0.93,0.7
gusanos.csv,0.44,0.46,0.62,0.35,0.32,0.15,0.08,0.89,0.79,1.0,0.89,0.0,0.17,0.74,0.79
miranda.csv,1.0,0.0,0.66,0.0,0.47,0.08,0.0,0.0,0.65,0.0,0.93,0.75,0.08,0.5,0.75
modplug.csv,0.4,0.53,0.47,0.36,0.38,0.1,0.06,0.71,0.88,0.86,0.91,0.87,0.14,0.76,0.65
monetdb.csv,0.39,0.5,0.68,0.67,0.55,0.16,0.03,0.91,0.96,0.89,1.0,1.0,0.24,0.85,0.68
quarkplayer.csv,0.5,0.62,0.54,0.41,0.18,0.06,0.18,0.4,0.78,0.7,0.0,0.7,0.09,0.7,0.64
reactos-mirror.csv,0.62,0.57,0.57,0.46,0.45,0.09,0.08,0.69,0.8,0.87,0.92,0.75,0.19,0.15,0.66
sandiaportals.csv,0.47,0.49,0.56,0.39,0.41,0.1,0.09,0.7,0.89,0.69,0.0,0.92,0.15,0.86,0.71
xbplayer.csv,0.46,0.65,0.54,0.56,0.72,0.2,0.05,0.93,0.76,1.0,0.94,1.0,0.16,0.75,0.72
