,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.72,1.0,1.0,0.77,0.59,0.82,0.76,0.74,1.0,0.83
betoffice.csv,0.74,0.16,0.4,0.79,0.95,0.78,0.64,0.72,0.77,0.77
bnetd.csv,1.0,1.0,0.9,0.84,0.41,0.6,1.0,0.62,0.96,0.9
graphmak.csv,0.11,0.72,1.0,0.93,0.55,0.47,0.78,0.92,0.04,0.63
hazelcast.csv,0.62,0.88,0.5,0.63,0.73,0.95,0.53,0.51,0.92,0.8
megasquirtavr.csv,0.91,0.52,0.45,0.6,0.18,0.71,0.49,0.72,0.31,0.3
pdfedit.csv,0.56,0.48,0.65,0.79,0.45,0.73,0.22,0.67,0.54,0.87
stajistics.csv,0.94,0.4,0.0,0.72,0.91,0.76,0.47,0.49,0.88,0.7
twostep.csv,0.63,0.8,0.75,0.72,0.82,0.75,0.51,0.74,0.81,0.9
xharbour.csv,0.77,0.92,1.0,1.0,0.86,0.76,0.78,0.82,0.73,0.9
