,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.31,0.4,0.53,0.38,0.44,0.33,0.48,0.38,0.43,0.42
betoffice.csv,0.51,0.78,0.95,0.45,0.44,0.49,0.57,0.54,0.49,0.54
bnetd.csv,0.39,0.4,0.53,0.34,0.45,0.55,0.39,0.47,0.41,0.47
graphmak.csv,0.9,0.52,0.58,0.42,0.68,0.7,0.49,0.44,0.83,0.68
hazelcast.csv,0.31,0.36,0.45,0.35,0.33,0.33,0.39,0.45,0.36,0.39
megasquirtavr.csv,0.41,0.57,0.75,0.51,0.93,0.51,0.63,0.43,0.67,0.79
pdfedit.csv,0.39,0.56,0.6,0.48,0.53,0.51,0.82,0.59,0.59,0.5
stajistics.csv,0.41,0.52,0.0,0.43,0.42,0.39,0.53,0.64,0.36,0.43
twostep.csv,0.32,0.38,0.55,0.43,0.33,0.36,0.44,0.38,0.46,0.45
xharbour.csv,0.35,0.39,0.56,0.35,0.43,0.42,0.4,0.44,0.43,0.43
