,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.3,0.11,0.28,0.25,0.27,0.62,0.02,0.05,0.13,0.28,0.07,0.19,0.25
bdbbasic.csv,0.63,0.29,0.49,0.51,0.31,0.64,0.05,0.07,0.76,0.37,0.0,0.52,0.51
echongl.csv,0.51,0.21,0.38,0.54,0.54,0.57,0.12,0.31,0.76,0.84,0.39,0.46,0.5
etherboot.csv,0.0,0.46,0.0,0.0,0.57,0.04,0.0,0.62,0.52,0.0,0.02,0.5,0.02
freebios.csv,0.43,0.27,0.28,0.51,0.39,0.13,0.78,0.34,0.48,0.49,0.43,0.46,0.41
gebr.csv,0.05,0.0,0.21,0.0,0.37,0.0,0.0,0.69,0.0,0.13,0.48,0.05,0.21
gnukeda.csv,0.55,0.36,0.41,0.71,0.55,0.62,0.25,0.42,0.13,0.27,0.36,0.24,0.3
google-gears.csv,0.74,0.72,0.61,0.4,0.47,0.09,0.36,0.37,0.3,0.0,0.09,0.6,0.72
jnode.csv,0.07,0.44,0.81,0.46,0.06,0.0,0.21,0.36,0.25,0.13,0.05,0.13,0.18
openmeetings.csv,0.64,0.92,0.69,0.27,0.63,0.65,0.1,0.47,0.42,0.53,0.62,0.56,0.41
pgui.csv,0.52,0.05,0.0,0.66,0.49,0.53,0.17,0.75,0.48,0.02,0.7,0.29,0.67
tradelink.csv,0.23,0.51,0.63,0.42,0.5,0.57,0.51,0.64,0.6,0.55,0.59,0.64,0.3
wxcrp.csv,0.52,0.47,0.13,0.52,0.09,0.65,0.42,0.69,0.66,0.37,0.32,0.75,0.56
