,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.72,0.96,0.89,0.59,0.74,0.64,0.45,1.07,0.55,1.04,0.68,1.03,0.65,0.78,0.88
biodwh.csv,0.55,0.85,0.88,0.49,0.56,0.64,0.7,1.07,0.75,0.71,0.68,1.0,0.21,0.43,0.61
brlcad.csv,0.96,0.49,0.58,0.93,0.89,0.75,0.68,1.05,0.6,1.0,0.91,1.0,0.78,1.0,0.95
delphilhlplib.csv,0.83,0.46,0.33,0.63,0.58,0.61,0.48,1.04,0.65,0.64,0.63,0.55,0.79,0.5,0.75
exordium.csv,0.68,0.74,0.48,0.68,0.34,0.55,0.67,1.05,0.54,0.6,0.75,0.95,0.71,0.45,0.72
fltk.csv,0.6,0.81,0.63,0.44,0.61,0.75,0.51,0.95,0.96,0.91,0.55,0.69,0.63,0.87,0.63
gzigzag.csv,0.5,0.81,0.79,0.78,0.79,0.49,0.7,1.31,0.49,0.52,0.7,1.01,0.53,0.35,0.78
jcache.csv,0.86,0.8,0.89,0.63,0.8,0.78,0.71,1.05,0.64,0.51,0.8,0.66,0.54,0.19,0.72
mimosa.csv,0.86,0.81,0.83,0.6,0.83,0.94,0.89,1.01,0.93,0.25,0.94,0.62,0.77,0.37,0.94
moast.csv,0.84,1.0,0.86,0.73,0.72,0.86,0.85,0.85,0.84,0.95,0.85,0.05,0.97,0.9,0.78
mptvseries.csv,0.53,0.62,0.98,0.57,0.56,0.7,0.39,1.06,0.83,0.46,0.59,0.97,0.61,0.68,0.66
ogre.csv,0.93,0.74,0.81,0.65,0.98,0.86,0.99,0.06,0.85,0.4,0.77,1.0,0.65,0.98,0.95
qdvdauthor.csv,0.64,0.89,0.82,0.84,0.85,0.7,0.62,0.78,0.92,0.71,0.36,0.2,0.83,0.98,0.62
sauerbraten.csv,0.44,0.92,0.9,0.83,0.71,0.73,0.86,0.53,0.99,0.52,0.87,0.38,0.8,0.93,0.89
zxing.csv,0.49,0.88,0.96,0.58,0.75,0.57,0.53,1.11,0.64,0.79,0.5,1.19,0.61,0.34,0.34
