,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.05,0.02,0.07,0.09,0.1,0.06,0.1,0.06,0.14,0.01
aubit4gl.csv,0.43,0.47,0.56,0.52,0.02,0.32,0.29,0.56,0.64,0.39
liferea.csv,0.2,0.12,0.19,0.0,0.29,0.21,0.19,0.29,0.09,0.28
moving-pictures.csv,0.62,0.82,0.79,0.07,0.48,0.63,0.0,0.16,0.67,0.7
opensim4opencog.csv,0.14,0.0,0.16,0.32,0.46,0.0,0.03,0.19,0.09,0.14
plearn.csv,0.0,0.2,0.12,0.23,0.69,0.04,0.45,0.38,0.25,0.49
psrchive.csv,0.14,0.0,0.0,0.05,0.4,0.09,0.39,0.1,0.08,0.36
re2c.csv,0.25,0.0,0.28,0.07,0.1,0.02,0.16,0.23,0.02,0.19
rebecca-aiml.csv,0.08,0.08,0.21,0.32,0.71,0.14,0.42,0.36,0.0,0.4
xfce.csv,0.62,0.69,0.75,0.8,0.75,0.84,0.77,0.01,0.54,0.8
