,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.6,0.5,0.29,0.2,0.71,0.23,0.4,0.71,0.49,0.96
aubit4gl.csv,0.22,0.17,0.12,0.18,0.98,0.17,0.5,0.59,0.21,0.23
liferea.csv,0.41,0.25,0.22,1.0,0.48,0.2,0.4,0.78,0.43,0.23
moving-pictures.csv,0.34,0.09,0.17,0.57,0.6,0.1,1.0,0.85,0.27,0.23
opensim4opencog.csv,0.39,1.0,0.14,0.33,0.6,1.0,0.67,0.82,0.54,0.14
plearn.csv,1.0,0.09,0.31,0.17,0.54,0.22,0.39,0.62,0.34,0.22
psrchive.csv,0.42,0.0,1.0,0.33,0.63,0.12,0.25,0.81,0.68,0.19
re2c.csv,0.4,1.0,0.22,0.0,0.58,0.25,0.5,0.44,0.75,0.24
rebecca-aiml.csv,0.6,0.2,0.24,0.3,0.54,0.15,0.41,0.72,1.0,0.23
xfce.csv,0.29,0.1,0.16,0.24,0.54,0.1,0.5,0.99,0.39,0.18
