,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.95,0.5,0.93,0.59,0.43,0.8,0.46,0.94,0.97,0.95,0.8,0.53,0.88,0.83,0.5,0.77,0.65,0.71
dspace-gsoc.csv,0.95,0.71,0.56,0.67,0.98,0.75,0.71,0.7,0.56,0.68,0.38,0.71,0.6,0.98,0.92,0.86,0.87,0.89
fbmanager.csv,0.51,0.45,0.48,0.38,0.32,0.39,0.43,0.36,0.54,0.58,0.48,0.37,0.56,0.75,0.49,0.6,0.42,0.46
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
freenet.csv,0.61,0.33,0.6,0.48,0.43,0.58,0.34,0.5,0.55,0.56,0.33,0.45,0.48,0.43,0.39,0.59,0.5,0.35
geogebra.csv,0.86,0.69,0.81,0.44,0.48,0.46,0.78,0.4,0.9,0.9,0.89,0.45,0.41,0.7,0.36,0.78,0.77,0.86
google-caja.csv,0.4,0.35,0.36,0.35,0.33,0.35,0.36,0.35,0.45,0.42,0.31,0.33,0.33,0.48,0.3,0.46,0.42,0.32
itext.csv,0.56,0.32,0.62,0.37,0.35,0.38,0.42,0.41,0.49,0.7,0.5,0.44,0.62,0.38,0.94,0.45,0.42,0.5
k3b.csv,0.47,0.3,0.41,0.39,0.35,0.4,0.38,0.33,0.46,0.44,0.34,0.37,0.47,0.3,0.58,0.41,0.39,0.35
megameknet.csv,0.71,0.36,0.92,0.47,0.5,0.65,0.59,0.48,0.63,0.76,0.42,0.46,0.56,0.66,0.55,0.72,0.57,0.35
myfaces.csv,0.45,0.5,0.44,0.45,0.43,0.45,0.45,0.41,0.96,0.43,0.36,0.49,0.38,0.98,0.32,0.54,0.46,0.58
onotoa.csv,0.47,0.41,0.44,0.44,0.46,0.4,0.35,0.43,0.51,0.47,0.39,0.92,0.4,0.59,0.34,0.54,0.49,0.57
paintown.csv,0.51,0.43,0.62,0.51,0.39,0.38,0.52,0.47,0.44,0.46,0.5,0.61,0.36,0.43,0.4,0.54,0.51,0.36
powerfolder.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.67,0.96,0.0,0.67,0.0,0.8,0.92,0.0,0.92,0.93,0.0
smartgwt.csv,0.65,0.45,0.5,0.49,0.43,0.49,0.61,0.48,0.67,0.51,0.42,0.46,0.69,0.57,0.39,0.57,0.55,0.61
sqlpower-library.csv,0.44,0.36,0.56,0.42,0.37,0.41,0.37,0.36,0.54,0.47,0.36,0.42,0.62,0.76,0.59,0.59,0.53,0.37
triplea.csv,0.49,0.42,0.45,0.4,0.34,0.45,0.48,0.37,0.49,0.41,0.54,0.48,0.53,0.55,0.42,0.5,0.46,0.41
