,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.82,0.58,0.86,0.65,0.59,0.93,0.04,0.8,0.71,0.77,0.82,0.67,0.8,0.93,1.0,0.68,0.61,0.76
dspace-gsoc.csv,0.83,0.76,0.64,0.91,0.8,0.95,0.83,0.72,0.7,0.66,0.06,0.72,0.68,0.74,1.01,0.77,0.78,1.32
fbmanager.csv,0.56,0.68,0.03,0.54,0.73,0.77,0.5,0.53,0.49,0.7,0.77,0.44,0.39,0.77,0.64,0.55,0.45,0.59
fido.csv,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
freenet.csv,0.69,0.76,0.81,0.64,0.01,0.68,0.73,0.63,0.78,0.88,0.71,0.87,0.64,0.54,0.74,0.6,0.65,1.01
geogebra.csv,0.72,0.7,0.79,0.83,0.85,0.68,0.7,0.87,0.79,0.87,0.85,0.76,1.05,0.54,0.87,0.63,0.09,0.88
google-caja.csv,0.43,0.71,0.46,0.53,0.74,1.03,0.61,0.01,0.87,0.58,0.54,0.46,0.88,0.64,0.95,0.51,0.67,1.01
itext.csv,0.63,0.59,0.62,0.54,0.53,0.71,0.55,0.51,0.5,0.72,0.79,0.0,0.29,0.34,0.76,0.47,0.4,0.66
k3b.csv,0.59,0.84,0.57,0.55,0.62,0.79,0.45,0.52,0.48,0.02,0.71,0.47,0.45,0.39,0.58,0.42,0.47,0.26
megameknet.csv,0.91,0.76,0.78,0.44,0.56,0.68,0.62,0.68,0.52,0.8,0.75,0.86,0.81,0.88,0.45,0.06,0.57,1.01
myfaces.csv,0.93,0.72,0.94,0.9,0.87,0.72,0.76,1.0,0.08,0.88,0.86,0.96,1.12,0.81,0.99,0.92,0.95,0.55
onotoa.csv,0.83,0.71,0.79,0.89,0.77,0.01,0.93,0.79,0.91,0.77,0.9,0.81,0.97,1.0,0.97,0.95,0.89,1.12
paintown.csv,0.02,0.5,0.59,0.73,0.63,0.93,0.73,0.68,0.68,0.6,0.69,0.66,0.75,0.47,0.83,0.71,0.58,0.52
powerfolder.csv,1.0,1.0,0.97,0.98,0.99,1.0,0.93,0.96,0.79,1.0,0.92,1.0,0.0,0.87,1.0,0.9,0.88,1.0
smartgwt.csv,0.69,0.74,0.48,0.55,0.68,0.66,0.65,0.79,0.66,0.76,0.67,0.56,0.56,0.08,0.88,0.6,0.64,0.69
sqlpower-library.csv,0.68,0.74,0.86,0.07,0.73,0.8,0.86,0.62,0.49,0.75,0.7,0.94,0.36,0.74,0.41,0.46,0.56,1.02
triplea.csv,0.57,0.03,0.54,0.54,0.7,0.79,0.74,0.73,0.66,0.81,0.65,0.75,0.45,0.37,1.05,0.51,0.47,1.06
