,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.48,0.55,0.88,0.33,0.29,0.78,0.63,0.47,0.46,0.72,0.83,0.69,0.7,0.75,0.67,0.38,0.45,0.46,0.67,0.71
checker-framework.csv,0.53,0.55,0.31,0.28,0.31,0.72,0.63,0.59,0.25,0.38,0.72,0.67,0.76,0.76,0.45,0.37,0.25,0.78,0.62,0.74
customsagetv.csv,0.44,0.2,0.29,0.53,0.37,0.49,0.19,0.17,0.35,0.32,0.31,0.57,0.89,0.38,0.09,0.3,0.32,0.23,0.57,0.57
elvishrayrenderer.csv,0.46,0.45,0.88,0.3,0.36,0.38,0.49,0.48,0.3,0.6,0.66,0.7,0.69,0.63,0.53,0.34,0.31,0.41,0.44,0.81
guineu.csv,0.53,0.49,0.13,0.12,0.23,0.51,0.45,0.14,0.15,0.71,0.46,0.46,0.86,0.0,0.08,0.0,0.12,0.37,0.53,0.33
inkscape.csv,0.37,0.57,0.88,0.3,0.26,0.75,0.48,0.32,0.4,0.17,0.86,0.62,0.73,0.73,0.47,0.39,0.41,0.78,0.66,0.55
mesa3d.csv,0.41,0.24,0.0,0.0,0.41,0.53,0.44,0.13,0.38,0.47,0.35,0.47,0.05,0.74,0.36,0.42,0.38,0.16,0.05,0.56
nsis.csv,0.42,0.46,0.76,0.18,0.21,0.65,0.38,0.3,0.36,0.8,0.83,0.64,0.81,0.37,0.34,0.29,0.35,0.81,0.67,0.68
octave.csv,0.41,0.48,0.09,0.13,0.38,0.62,0.46,0.11,0.35,0.46,0.47,0.33,0.03,0.65,0.5,0.38,0.34,0.08,0.14,0.44
oorexx.csv,0.33,0.45,0.13,0.15,0.32,0.53,0.57,0.35,0.39,0.6,0.47,0.48,0.56,0.13,0.15,0.19,0.39,0.5,0.7,0.69
owfs.csv,0.46,0.51,0.88,0.28,0.34,0.68,0.57,0.31,0.44,0.76,0.59,0.67,0.3,0.76,0.58,0.34,0.44,0.32,0.69,0.66
owlib.csv,0.49,0.64,0.7,0.31,0.35,0.61,0.57,0.47,0.38,0.59,0.38,0.71,0.67,0.65,0.37,0.37,0.38,0.39,0.67,0.74
prelude.csv,0.46,0.57,0.9,0.33,0.31,0.76,0.61,0.33,0.43,0.74,0.78,0.66,0.73,0.8,0.45,0.41,0.42,0.77,0.75,0.74
robocode.csv,0.53,0.53,0.0,0.43,0.37,0.76,0.75,0.37,0.43,0.49,0.58,0.63,0.62,0.62,0.34,0.35,0.42,0.57,0.66,0.59
tencompetence.csv,0.16,0.43,0.62,0.13,0.13,0.23,0.08,0.26,0.0,0.28,0.71,0.34,0.57,0.31,0.19,0.29,0.05,0.81,0.45,0.55
trinitycore.csv,0.2,0.26,0.25,0.0,0.2,0.53,0.33,0.29,0.47,0.33,0.62,0.11,0.52,0.51,0.14,0.28,0.49,0.66,0.43,0.5
uwom-server.csv,0.25,0.33,0.09,0.18,0.34,0.57,0.44,0.4,0.46,0.46,0.68,0.21,0.45,0.68,0.08,0.34,0.44,0.37,0.48,0.61
xfce.csv,0.45,0.59,0.05,0.27,0.33,0.74,0.6,0.52,0.44,0.54,0.53,0.66,0.57,0.72,0.35,0.36,0.42,0.69,0.61,0.58
zengine.csv,0.47,0.56,0.82,0.3,0.31,0.72,0.6,0.29,0.39,0.96,0.91,0.68,0.7,0.75,0.46,0.4,0.39,0.77,0.75,0.79
zildo.csv,0.53,0.58,0.74,0.28,0.34,0.59,0.47,0.43,0.34,0.35,0.69,0.71,0.8,0.68,0.45,0.35,0.33,0.57,0.64,0.73
