,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.88,0.86,1.0,1.0,0.86,0.93,1.0,0.77,0.91,0.6,0.82,0.86,1.0,0.73,0.77,0.77,0.91,0.39,0.69,0.76
checker-framework.csv,0.81,0.9,0.19,0.82,0.36,0.91,0.83,0.77,0.34,0.24,0.71,0.91,0.98,0.8,0.95,0.8,0.35,0.84,0.67,0.85
customsagetv.csv,0.31,0.11,0.17,0.45,0.45,0.4,0.13,0.15,0.32,0.2,0.18,0.5,0.88,0.24,0.05,0.3,0.29,0.14,0.5,0.47
elvishrayrenderer.csv,0.88,0.43,1.0,1.0,0.82,0.33,0.43,0.77,0.52,0.44,0.55,0.82,0.69,0.52,0.45,0.42,0.55,0.31,0.33,0.76
guineu.csv,0.65,0.65,0.07,0.09,0.32,0.4,0.48,0.23,0.2,0.56,0.34,0.43,0.87,0.0,0.05,0.0,0.15,0.26,0.47,0.24
inkscape.csv,0.5,0.74,1.0,1.0,0.23,0.72,0.61,0.92,0.68,0.09,1.0,0.84,0.98,0.73,1.0,0.54,0.67,0.96,0.83,0.47
mesa3d.csv,0.58,0.18,0.0,0.0,0.59,0.49,0.43,0.15,0.5,0.31,0.21,0.43,0.04,0.7,0.23,0.54,0.51,0.1,0.03,0.5
nsis.csv,0.73,0.7,0.69,0.27,0.55,0.81,0.43,0.69,0.71,0.67,0.82,0.8,0.87,0.26,0.55,0.48,0.71,0.94,0.81,0.71
octave.csv,0.58,0.54,0.05,0.09,0.5,0.49,0.48,0.15,0.48,0.31,0.32,0.25,0.02,0.56,0.45,0.45,0.47,0.04,0.08,0.35
oorexx.csv,0.35,0.41,0.07,0.09,0.59,0.49,0.7,0.92,0.48,0.45,0.32,0.55,0.58,0.07,0.14,0.14,0.49,0.42,0.67,0.68
owfs.csv,0.88,0.77,1.0,0.36,0.73,0.74,0.83,0.92,0.95,0.65,0.47,0.75,0.27,0.73,0.59,0.46,0.96,0.22,0.83,0.62
owlib.csv,0.73,0.68,0.55,0.73,0.68,0.6,0.61,0.62,0.52,0.43,0.24,0.75,0.81,0.54,0.27,0.57,0.53,0.3,0.67,0.76
prelude.csv,0.96,0.99,0.86,1.0,0.95,1.0,0.96,0.85,0.98,0.64,0.76,0.95,0.98,0.87,0.95,0.97,0.98,0.95,0.94,0.85
robocode.csv,0.77,0.57,0.0,0.55,0.64,0.81,0.78,0.85,0.54,0.34,0.42,0.82,0.62,0.49,0.55,0.48,0.53,0.49,0.67,0.56
tencompetence.csv,0.12,0.56,0.48,0.18,0.09,0.16,0.04,0.46,0.0,0.16,0.58,0.23,0.42,0.21,0.23,0.41,0.04,0.79,0.39,0.47
trinitycore.csv,0.15,0.22,0.14,0.0,0.32,0.47,0.3,0.62,0.61,0.2,0.47,0.07,0.38,0.38,0.09,0.26,0.67,0.6,0.36,0.38
uwom-server.csv,0.19,0.29,0.05,0.27,0.55,0.49,0.39,0.69,0.61,0.3,0.58,0.14,0.33,0.62,0.05,0.54,0.58,0.26,0.42,0.5
xfce.csv,0.88,0.73,0.02,0.64,0.64,0.86,0.61,0.85,0.82,0.38,0.42,0.86,0.54,0.67,0.64,0.7,0.75,0.8,0.56,0.56
zengine.csv,1.0,0.97,0.79,0.91,1.0,0.98,0.96,0.85,0.93,1.0,0.84,1.0,0.96,0.76,1.0,0.74,0.93,0.95,1.0,1.0
zildo.csv,0.69,0.83,0.6,0.73,0.45,0.56,0.35,0.62,0.41,0.22,0.55,0.68,0.81,0.6,0.64,0.65,0.4,0.46,0.67,0.79
