,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
empserver.csv,0.23,0.61,0.88,0.14,0.27,0.79,0.57,0.07
enlightenment.csv,1.0,1.0,1.0,0.34,1.0,1.0,0.91,1.0
ffigo.csv,0.33,0.2,0.57,0.0,0.0,0.14,0.34,0.14
ildjit.csv,0.4,0.19,0.14,0.4,0.7,0.27,0.23,0.14
jfreereport.csv,0.03,0.1,0.19,0.07,0.06,0.07,0.07,0.0
psycle.csv,0.33,0.62,0.71,0.54,0.79,0.71,0.32,0.14
wikipediardware.csv,0.38,0.82,1.0,0.57,0.97,0.92,0.68,0.21
wxjs.csv,0.03,0.02,0.14,0.01,0.0,0.2,0.0,0.07
