,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.62,0.62,0.62,0.88,0.31,0.51,0.71,0.35
anaxagora.csv,0.44,0.48,0.57,0.43,0.38,0.46,0.86,0.25
botsnscouts.csv,0.7,0.35,0.55,0.76,0.23,0.7,0.83,0.25
emisview.csv,0.58,0.56,0.59,0.47,0.37,0.5,0.73,0.23
matrex.csv,0.5,0.15,0.68,0.62,0.2,0.82,0.94,0.32
mediaportal.csv,0.71,0.57,0.62,0.73,0.27,0.65,0.8,0.33
mediate.csv,0.53,0.34,0.67,0.61,0.16,0.48,0.81,0.22
ontopia.csv,0.36,0.29,0.55,0.57,0.13,0.67,0.95,0.22
