,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.32,0.62,0.44,0.56,0.72,0.3,0.53,0.39,0.61,0.42,0.63,0.53,0.69
autowikibrowser.csv,0.33,0.6,0.61,0.55,0.68,0.19,0.4,0.35,0.67,0.39,0.7,0.54,0.82
cities3d.csv,0.0,0.61,0.24,0.44,0.12,0.27,0.21,0.0,0.32,0.38,0.49,0.42,0.0
firebird.csv,0.27,0.66,0.6,0.56,0.56,0.22,0.36,0.36,0.53,0.36,0.62,0.44,0.68
hydrogen.csv,0.3,0.63,0.69,0.53,0.65,0.16,0.55,0.0,0.57,0.34,0.62,0.35,0.75
lphant.csv,0.3,0.64,0.59,0.5,0.66,0.27,0.31,0.33,0.68,0.36,0.7,0.52,0.66
open-ms.csv,0.33,0.73,0.66,0.49,0.38,0.19,0.5,0.39,0.54,0.38,0.67,0.43,0.56
qgo.csv,0.24,0.91,0.66,0.57,0.63,0.16,0.32,0.29,0.58,0.37,0.65,0.42,0.79
quickfast.csv,0.23,0.63,0.66,0.53,0.5,0.16,0.3,0.27,0.59,0.35,0.61,0.41,0.8
rhex.csv,0.4,0.59,0.22,0.41,0.29,0.2,0.39,0.17,0.08,0.28,0.35,0.29,0.59
rocrail.csv,0.33,0.67,0.54,0.52,0.66,0.17,0.44,0.33,0.6,0.35,0.68,0.59,0.58
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0
yield.csv,0.2,0.7,0.7,0.53,0.79,0.16,0.25,0.32,0.62,0.35,0.61,0.37,0.76
