,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,1.0,3.0,0.0
autowikibrowser.csv,1.0,0.0,1.0,2.0,1.0,95.0,14.0,0.0,2.0,0.0,1.0,1.0,0.0
cities3d.csv,92.0,6.0,1.0,5.0,1.0,11.0,0.0,52.0,3.0,9.0,3.0,17.0,78.0
firebird.csv,15.0,3.0,0.0,1.0,0.0,11.0,17.0,0.0,10.0,15.0,2.0,17.0,9.0
hydrogen.csv,9.0,11.0,0.0,8.0,8.0,49.0,1.0,52.0,0.0,24.0,15.0,21.0,9.0
lphant.csv,14.0,1.0,0.0,4.0,3.0,13.0,4.0,1.0,0.0,10.0,8.0,4.0,0.0
open-ms.csv,2.0,4.0,0.0,11.0,1.0,21.0,3.0,5.0,2.0,2.0,4.0,22.0,0.0
qgo.csv,13.0,1.0,0.0,10.0,1.0,25.0,16.0,14.0,0.0,10.0,7.0,5.0,0.0
quickfast.csv,26.0,3.0,0.0,0.0,6.0,43.0,24.0,12.0,0.0,18.0,13.0,22.0,0.0
rhex.csv,4.0,6.0,0.0,5.0,4.0,68.0,11.0,11.0,2.0,0.0,11.0,5.0,10.0
rocrail.csv,3.0,1.0,0.0,4.0,1.0,53.0,4.0,1.0,5.0,12.0,7.0,4.0,8.0
xined.csv,92.0,64.0,329.0,1673.0,130.0,432.0,115.0,0.0,54.0,436.0,97.0,101.0,78.0
yield.csv,33.0,1.0,0.0,8.0,0.0,53.0,5.0,0.0,5.0,23.0,3.0,33.0,2.0
