,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.52,0.36,0.63,0.66,0.67,0.81,0.7,0.69,0.62,0.65,0.63,0.64
autowikibrowser.csv,0.66,0.59,0.59,0.66,0.66,0.63,0.6,0.6,0.67,0.62,0.72,0.82,0.8
cities3d.csv,0.0,0.63,0.17,0.53,0.07,0.64,0.23,0.0,0.27,0.66,0.41,0.68,0.0
firebird.csv,0.46,0.67,0.57,0.65,0.46,0.7,0.59,0.49,0.53,0.5,0.66,0.66,0.52
hydrogen.csv,0.7,0.0,0.0,0.0,0.0,0.05,0.81,0.0,0.0,0.0,0.0,0.0,0.68
lphant.csv,0.71,0.67,0.59,0.58,0.58,0.69,0.7,0.44,0.7,0.63,0.76,0.82,0.6
open-ms.csv,0.66,0.78,0.63,0.59,0.29,0.64,0.76,0.7,0.5,0.61,0.72,0.71,0.5
qgo.csv,0.33,0.95,0.32,0.69,0.66,0.3,0.71,0.38,0.13,0.5,0.47,0.59,0.68
quickfast.csv,0.37,0.66,0.39,0.62,0.51,0.5,0.67,0.5,0.33,0.27,0.41,0.66,0.78
rhex.csv,0.74,0.59,0.18,0.49,0.23,0.52,0.49,0.23,0.06,0.42,0.35,0.4,0.55
rocrail.csv,0.6,0.65,0.51,0.52,0.69,0.62,0.75,0.52,0.67,0.61,0.72,0.83,0.53
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0
yield.csv,0.43,0.75,0.6,0.39,0.76,0.0,0.13,0.09,0.6,0.3,0.63,0.35,0.69
