,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.7,0.55,0.06,0.53,0.67,0.86,0.98,0.6,0.81,0.46
jmule.csv,0.57,0.49,0.12,0.84,0.86,0.66,0.31,0.79,0.97,0.88
nosleepsoftware.csv,0.27,0.05,0.69,0.0,0.05,0.07,0.02,0.17,0.02,0.54
open-ms.csv,0.77,0.79,0.56,0.16,0.14,0.52,0.52,0.55,0.57,0.83
qgo.csv,0.87,0.85,0.75,0.32,0.67,0.57,0.79,0.9,0.91,1.0
rezilla.csv,0.63,0.84,1.0,0.63,0.19,0.33,0.62,0.65,0.63,0.58
riff-evolve.csv,0.57,0.42,0.0,0.21,0.6,0.66,0.83,0.52,0.68,0.0
uwom.csv,0.67,0.26,0.0,0.47,0.65,0.32,0.05,0.7,0.84,0.54
virtuoso.csv,0.93,0.98,1.0,1.0,0.95,0.91,0.43,0.98,0.89,0.88
yield.csv,0.8,0.74,0.69,0.21,0.73,0.97,0.88,0.75,0.84,0.92
