,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.52,0.66,0.04,0.3,0.78,0.58,0.25,0.26,0.34,0.73
jmule.csv,0.47,0.58,0.06,0.4,0.56,0.61,0.23,0.22,0.3,0.78
nosleepsoftware.csv,0.57,0.6,0.58,0.0,0.43,0.55,0.17,0.14,0.02,0.48
open-ms.csv,0.61,0.58,0.53,0.5,0.9,0.59,0.47,0.29,0.28,0.45
qgo.csv,0.84,0.54,0.28,0.67,0.62,0.53,0.28,0.22,0.23,0.46
rezilla.csv,0.5,0.51,0.35,0.57,0.26,0.47,0.27,0.18,0.17,0.56
riff-evolve.csv,0.59,0.73,0.0,0.67,0.78,0.73,0.3,0.35,0.51,0.0
uwom.csv,0.57,0.71,0.0,0.39,0.75,0.55,0.67,0.25,0.49,0.76
virtuoso.csv,0.49,0.52,0.25,0.33,0.48,0.49,0.49,0.2,0.24,0.44
yield.csv,0.55,0.62,0.29,0.57,0.79,0.5,0.28,0.23,0.35,0.45
