,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.42,0.45,0.61,0.48,0.46,0.39,0.36,0.53,0.43,0.53
jmule.csv,0.47,0.56,0.55,0.45,0.46,0.46,0.75,0.49,0.42,0.44
nosleepsoftware.csv,0.93,0.93,0.58,0.0,0.86,0.91,0.83,0.79,0.99,0.41
open-ms.csv,0.34,0.34,0.47,0.83,0.9,0.74,0.6,0.5,0.44,0.34
qgo.csv,0.42,0.34,0.35,0.67,0.41,0.37,0.31,0.39,0.37,0.31
rezilla.csv,0.53,0.44,0.54,0.67,0.89,0.64,0.48,0.48,0.49,0.44
riff-evolve.csv,0.41,0.57,0.69,0.83,0.49,0.54,0.34,0.6,0.55,0.0
uwom.csv,0.43,0.87,0.57,0.65,0.53,0.7,0.67,0.55,0.62,0.65
virtuoso.csv,0.37,0.39,0.43,0.36,0.46,0.45,0.68,0.4,0.44,0.33
yield.csv,0.36,0.35,0.37,0.86,0.47,0.43,0.33,0.41,0.41,0.33
