,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.54,0.31,0.47,0.57,0.18,0.61,0.87,0.44,0.44,0.14
jmule.csv,0.54,0.39,0.62,0.6,0.62,0.41,0.31,0.71,0.62,0.21
nosleepsoftware.csv,0.17,0.04,0.17,0.0,0.06,0.05,0.04,0.26,0.26,0.48
open-ms.csv,0.43,0.61,0.17,0.08,0.01,0.35,0.18,0.34,0.42,0.83
qgo.csv,0.14,0.78,0.66,0.08,0.38,0.51,0.59,0.8,0.88,0.97
rezilla.csv,0.54,0.86,0.64,0.22,0.5,0.37,0.51,0.78,0.83,0.38
riff-evolve.csv,0.34,0.17,0.34,0.05,0.16,0.24,0.58,0.25,0.19,0.0
uwom.csv,0.43,0.11,0.6,0.35,0.21,0.26,0.01,0.54,0.25,0.14
virtuoso.csv,0.83,0.97,1.0,0.98,0.96,0.95,0.14,0.97,0.8,0.93
yield.csv,0.57,0.49,0.57,0.08,0.18,0.94,0.69,0.66,0.43,0.93
