,f1,g,recall,precision,pf,wins
firebird.csv,0.52,0.58,0.635,0.43000000000000005,0.45499999999999996,3
jmule.csv,0.525,0.615,0.7250000000000001,0.435,0.5700000000000001,5
nosleepsoftware.csv,0.11,0.075,0.060000000000000005,0.45499999999999996,0.115,0
open-ms.csv,0.52,0.565,0.555,0.515,0.345,7
qgo.csv,0.49,0.545,0.8200000000000001,0.495,0.625,4
rezilla.csv,0.455,0.53,0.63,0.41,0.525,2
riff-evolve.csv,0.485,0.5700000000000001,0.5449999999999999,0.55,0.215,9
uwom.csv,0.41500000000000004,0.54,0.505,0.56,0.255,6
virtuoso.csv,0.5349999999999999,0.185,0.94,0.45999999999999996,0.955,1
yield.csv,0.55,0.63,0.775,0.475,0.57,8
