,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.6,0.6,0.05,0.38,0.72,0.69,0.4,0.36,0.48,0.56
jmule.csv,0.52,0.53,0.09,0.54,0.68,0.63,0.27,0.34,0.46,0.82
nosleepsoftware.csv,0.36,0.1,0.63,0.0,0.09,0.12,0.04,0.15,0.02,0.51
open-ms.csv,0.68,0.67,0.55,0.24,0.25,0.55,0.49,0.38,0.37,0.59
qgo.csv,0.85,0.66,0.41,0.43,0.64,0.55,0.42,0.36,0.36,0.63
rezilla.csv,0.56,0.64,0.52,0.6,0.22,0.39,0.37,0.28,0.27,0.57
riff-evolve.csv,0.58,0.53,0.0,0.32,0.68,0.69,0.44,0.42,0.58,0.0
uwom.csv,0.62,0.38,0.0,0.43,0.69,0.4,0.09,0.36,0.62,0.63
virtuoso.csv,0.64,0.68,0.41,0.49,0.64,0.63,0.46,0.34,0.38,0.58
yield.csv,0.65,0.67,0.41,0.31,0.76,0.66,0.42,0.35,0.5,0.6
