,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.32,0.0,0.27,0.23,0.21,0.2,0.76,0.09,0.85,0.46,0.57,0.5,0.4
gamestone.csv,0.13,0.88,0.11,0.39,0.36,0.0,0.33,0.14,0.08,0.08,0.27,0.22,0.64
gbif-providertoolkit.csv,0.75,0.0,0.45,0.45,0.71,0.0,0.29,0.57,0.54,0.67,0.77,0.72,0.33
growl-for-windows.csv,0.42,0.12,0.0,0.0,0.57,0.14,0.95,0.0,0.0,0.0,0.67,0.75,0.0
gss.csv,0.77,0.88,0.91,0.84,0.86,0.65,1.0,0.54,1.0,0.62,0.8,0.61,0.87
heekscad.csv,0.78,0.62,0.59,0.58,0.79,0.47,0.71,0.52,1.0,0.83,0.43,0.42,0.78
igarden.csv,0.51,0.38,0.2,0.65,0.29,0.51,0.81,0.26,0.77,0.31,0.4,0.11,0.67
levent.csv,0.68,0.12,0.16,0.1,0.86,0.69,1.0,0.02,0.0,0.19,0.8,0.81,0.0
openmsx.csv,0.96,0.88,0.23,0.9,0.71,0.59,1.0,0.54,0.15,0.33,0.93,0.89,0.02
pnotepad.csv,0.61,0.88,0.88,1.0,0.86,0.65,0.81,0.57,1.0,0.9,0.67,0.53,0.98
quark.csv,0.42,0.25,0.38,0.16,0.29,0.04,0.33,0.12,0.92,0.27,0.17,0.06,0.33
tango-cs.csv,0.94,0.62,0.73,0.81,1.0,0.65,0.57,0.63,1.0,0.69,0.77,0.58,0.6
xcsoar.csv,0.66,0.25,0.7,0.65,0.64,0.35,0.57,0.42,1.0,0.25,0.47,0.78,0.53
