,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.33,0.35,0.24,0.27,0.4,0.41,0.37,0.38,0.69,0.54,0.2,0.27,0.0,0.23,0.48,0.28,0.26,0.12
arm-webradio.csv,0.1,0.11,0.09,0.29,0.34,0.12,0.1,0.04,0.32,0.18,0.12,0.17,0.29,0.45,0.21,0.5,0.11,0.0
bwapi.csv,0.14,0.53,0.63,0.9,0.49,0.71,0.65,0.62,0.08,0.29,0.81,0.47,0.55,0.41,0.27,0.0,0.67,0.25
co-ode-owl-plugins.csv,0.05,0.31,0.29,0.17,0.11,0.1,0.06,0.01,0.32,0.18,0.07,0.13,0.18,0.1,0.18,0.69,0.12,0.23
firebreath.csv,0.9,0.4,0.38,0.32,0.26,0.0,0.54,0.76,0.52,0.65,0.61,0.57,0.67,0.86,0.3,0.11,0.39,0.89
frogatto.csv,0.19,0.29,0.41,0.34,0.26,0.2,0.35,0.34,0.23,0.19,0.53,0.17,0.24,0.25,0.0,0.33,0.3,0.44
gretl.csv,0.86,0.67,0.78,0.97,0.86,0.95,0.65,0.63,0.91,0.89,0.37,0.07,0.6,0.36,0.7,0.78,0.46,0.27
jasperreports.csv,0.05,0.0,0.01,0.0,0.06,0.01,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konversation.csv,0.0,0.29,0.0,0.05,0.14,0.19,0.17,0.04,0.03,0.05,0.19,0.47,0.47,0.12,0.12,0.0,0.14,0.06
linuxsh.csv,0.14,0.0,0.14,0.09,0.31,0.11,0.02,0.1,0.32,0.26,0.03,0.03,0.24,0.23,0.06,0.25,0.05,0.0
moviesandbox.csv,0.19,0.35,0.29,0.26,0.0,0.39,0.35,0.16,0.22,0.38,0.17,0.77,0.55,0.27,0.33,0.25,0.37,0.32
ontomorphtab.csv,0.0,0.87,0.54,0.6,0.54,0.41,0.58,0.65,0.55,0.73,0.85,0.23,0.51,0.58,0.3,0.53,0.47,0.31
opengs.csv,0.14,0.11,0.09,0.14,0.06,0.02,0.02,0.22,0.0,0.22,0.17,0.13,0.33,0.27,0.09,0.0,0.09,0.16
scite-ru.csv,0.86,0.22,0.63,0.72,0.43,0.57,0.0,0.55,0.51,0.92,0.34,0.0,0.2,0.82,0.58,0.19,0.41,0.6
tokratan.csv,0.0,0.05,0.1,0.09,0.06,0.06,0.02,0.01,0.04,0.0,0.02,0.1,0.25,0.03,0.0,0.03,0.13,0.0
vrjuggler.csv,0.33,0.0,0.14,0.22,0.06,0.17,0.17,0.23,0.04,0.35,0.0,0.0,0.02,0.25,0.3,0.0,0.22,0.0
wxcode.csv,0.05,0.02,0.02,0.01,0.03,0.0,0.12,0.0,0.01,0.07,0.0,0.03,0.02,0.09,0.0,0.06,0.0,0.04
xuggle.csv,0.81,0.35,0.07,0.0,0.77,0.71,0.17,0.61,0.57,0.73,0.31,0.03,0.35,0.78,0.12,0.58,0.11,0.58
