,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,387.5,358.0,872.0,182.0,953.0,190.0,188.0,81.5,98.5,94.5,3797.5
bdbbasic.csv,287.5,633.0,2118.0,97.5,176.0,193.0,90.5,68.5,99.0,98.5,3698.0
bibletime.csv,387.5,1042.0,1642.5,97.5,462.5,99.0,98.5,1924.0,99.0,97.5,2465.5
crux-framework.csv,193.5,752.5,446.5,94.5,188.0,99.0,98.5,1461.5,98.5,97.5,463.0
etherboot.csv,103.0,275.5,0.0,44.5,457.5,76.5,96.5,2120.5,90.5,98.5,2840.5
gnukeda.csv,192.0,272.0,3416.0,97.5,748.0,95.5,0.0,449.5,99.0,98.5,3012.0
google-gears.csv,192.0,1132.5,960.0,97.5,665.5,99.0,98.5,2021.5,99.0,98.5,1991.0
jnode.csv,93.5,556.5,1952.5,94.5,385.0,112.5,158.0,218.0,188.0,91.5,436.0
openmeetings.csv,291.0,278.5,865.0,81.5,269.5,94.5,74.5,360.0,99.0,94.5,967.0
pgui.csv,92.5,569.5,0.0,97.5,461.5,99.0,98.5,262.5,99.0,98.5,4479.0
wxcrp.csv,188.0,1404.0,1546.0,97.5,849.5,99.0,98.5,2021.5,99.0,98.5,4087.0
