,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.63,0.74,0.84,0.7,0.72,0.44,0.75,0.73,0.74,0.92,0.89
bdbbasic.csv,0.54,0.85,0.75,0.66,0.83,0.58,0.3,0.91,0.57,0.52,0.88
bibletime.csv,0.51,0.43,0.55,0.58,0.74,0.88,0.92,0.91,0.62,0.52,0.72
crux-framework.csv,0.79,0.59,0.75,0.85,0.7,0.96,0.84,0.75,0.69,0.62,0.12
etherboot.csv,0.9,0.38,1.0,0.97,0.6,0.89,0.45,0.99,0.96,0.93,0.76
gnukeda.csv,0.83,0.7,0.9,0.38,0.79,0.51,1.0,0.76,0.87,0.94,0.87
google-gears.csv,0.67,0.62,0.58,0.64,0.79,0.97,0.86,0.92,0.44,0.54,0.47
jnode.csv,0.97,0.72,0.28,0.73,1.0,1.0,0.85,1.0,0.91,0.94,0.7
openmeetings.csv,0.47,0.21,0.45,0.87,0.61,0.54,0.69,0.51,0.84,0.55,0.4
pgui.csv,0.73,0.61,1.0,0.61,0.67,0.75,0.67,0.5,0.49,0.58,1.0
wxcrp.csv,0.51,0.99,0.9,0.73,0.97,0.71,0.69,0.95,0.65,0.5,1.01
