,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.34,0.16,0.03,0.61,0.26,0.56,0.42,0.59,0.79,1.0,0.02
bdbbasic.csv,0.39,0.1,0.03,0.61,0.22,0.39,0.67,1.0,0.9,0.9,0.02
bibletime.csv,0.41,0.26,0.06,0.64,0.25,0.33,0.3,0.29,0.81,0.89,0.03
crux-framework.csv,0.25,0.21,0.15,0.43,0.44,0.23,0.24,0.26,0.78,0.86,0.19
etherboot.csv,0.75,0.52,0.0,0.5,0.33,0.67,0.58,0.28,0.62,0.83,0.03
gnukeda.csv,0.33,0.27,0.02,0.78,0.24,0.54,0.0,0.36,0.76,0.82,0.02
google-gears.csv,0.36,0.19,0.05,0.63,0.26,0.32,0.31,0.28,0.87,0.88,0.06
jnode.csv,0.33,0.15,0.14,0.56,0.0,0.0,0.33,0.0,0.64,0.71,0.04
openmeetings.csv,0.61,0.44,0.09,0.83,0.32,0.58,0.67,0.43,0.83,0.97,0.08
pgui.csv,0.29,0.19,0.0,0.62,0.29,0.33,0.33,0.44,0.87,0.88,0.03
wxcrp.csv,0.5,0.09,0.04,0.55,0.25,0.36,0.33,0.27,0.79,0.89,0.01
