,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.77,0.33,0.05,0.42,0.82,0.52,0.91,0.67,0.27,0.91,0.82
ikvm.csv,0.57,0.83,0.03,0.17,0.7,0.11,0.81,0.38,0.14,0.67,0.69
libtorrent.csv,0.72,0.4,0.06,0.3,0.75,0.2,0.92,0.65,0.15,0.87,0.93
mcmc-jags.csv,0.74,0.39,0.05,0.63,0.77,0.22,0.89,0.73,0.31,0.88,0.89
moast.csv,0.65,0.32,0.05,0.26,0.72,0.19,0.75,0.58,0.15,0.89,0.99
olap-navigator.csv,0.96,0.47,0.13,0.5,0.83,0.63,1.0,0.73,0.23,0.93,0.91
pidgin.csv,0.82,0.44,0.05,0.75,0.85,0.34,0.94,0.83,0.15,0.91,0.91
salasaga.csv,0.62,0.45,0.03,0.3,0.82,0.21,0.84,0.9,0.3,0.9,0.74
sepgsql.csv,0.97,0.43,0.12,0.5,0.86,0.55,1.0,0.9,0.22,0.97,0.97
sigil.csv,0.84,0.41,0.15,0.83,0.88,0.53,0.91,0.86,0.33,0.88,0.89
xtreemfs.csv,0.86,0.48,0.05,0.35,0.74,0.27,0.93,0.82,0.17,0.95,0.95
