,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,1.0,0.38,0.29,0.4,0.27,0.46,0.29,0.44
anaxagora.csv,0.29,0.15,0.66,0.37,0.95,0.54,0.44,0.31
botsnscouts.csv,0.69,0.53,0.43,1.0,0.19,0.5,0.24,0.37
emisview.csv,0.51,0.98,0.26,0.3,0.22,0.29,0.28,0.29
matrex.csv,0.13,0.27,0.68,0.68,0.25,0.97,0.33,0.29
mediaportal.csv,0.38,0.21,0.67,0.57,0.26,0.5,0.83,0.85
mediate.csv,0.72,0.56,0.96,0.57,0.25,0.6,0.41,0.44
ontopia.csv,0.21,0.35,0.43,0.65,0.2,0.54,0.99,0.35
