,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.54,1.0,0.89,0.2,0.69,0.7,0.67,1.0,0.27,0.57,0.81
libtorrent.csv,0.7,0.77,0.89,0.87,0.92,1.0,0.98,1.0,1.0,0.99,0.79
mcmc-jags.csv,0.51,0.5,0.19,0.93,0.42,0.35,0.59,0.39,0.27,0.77,0.65
natpad.csv,0.39,0.45,0.56,0.73,0.32,0.28,0.7,0.32,0.4,0.76,0.91
nebuladevice.csv,0.08,0.18,0.26,0.13,0.28,0.18,0.15,0.21,1.0,0.07,0.26
olap-navigator.csv,0.98,0.41,0.78,0.73,0.69,0.59,0.87,0.96,0.8,0.94,0.56
pidgin.csv,0.51,0.77,0.81,0.47,0.98,0.65,0.65,1.0,0.8,0.9,0.72
salasaga.csv,0.8,0.86,0.67,1.0,0.73,0.8,0.76,0.89,0.73,0.76,0.65
sepgsql.csv,0.07,0.32,0.89,0.0,0.19,0.03,0.02,0.0,0.07,0.02,0.0
xstore.csv,0.62,0.27,0.81,0.47,0.62,0.43,0.98,0.82,0.53,0.87,0.67
xtreemfs.csv,0.61,0.68,0.89,0.33,0.54,0.47,0.74,0.64,0.6,1.0,0.74
