,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.54,1.0,0.41,0.23,0.55,0.49,0.48,0.05,0.28,0.56,0.58
libtorrent.csv,0.55,0.56,0.57,0.64,0.52,1.0,0.0,0.0,0.3,0.21,0.66
mcmc-jags.csv,0.54,0.43,0.23,0.94,0.46,0.39,0.61,0.43,0.3,0.73,0.62
natpad.csv,0.44,0.48,0.54,0.69,0.36,0.32,0.7,0.37,0.44,0.73,0.93
nebuladevice.csv,0.1,0.21,0.3,0.16,0.32,0.21,0.18,0.25,1.0,0.09,0.3
olap-navigator.csv,0.98,0.4,0.73,0.75,0.69,0.6,0.57,0.51,0.64,0.54,0.59
pidgin.csv,0.51,0.61,0.66,0.48,0.97,0.66,0.66,0.69,0.66,0.68,0.64
salasaga.csv,0.0,0.41,0.54,0.0,0.28,0.0,0.26,0.91,0.38,0.09,0.42
sepgsql.csv,0.09,0.36,0.91,0.0,0.23,0.04,0.02,0.0,0.09,0.02,0.0
xstore.csv,0.62,0.29,0.71,0.52,0.63,0.46,0.98,0.73,0.54,0.76,0.66
xtreemfs.csv,0.58,0.61,0.63,0.38,0.57,0.52,0.71,0.64,0.61,1.0,0.69
