,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.25,0.55,0.98,0.14,0.52,0.72,0.62,0.04,0.75,0.47,0.2,0.67,0.8,0.69,0.58
glelite.csv,0.29,0.53,0.74,0.11,0.5,0.76,0.64,0.03,0.75,0.57,0.15,0.83,1.0,0.76,0.55
hannosset.csv,0.0,0.0,0.42,0.0,0.08,0.0,0.07,0.0,0.0,0.03,1.0,0.18,0.12,0.18,0.1
ipfilter.csv,0.3,0.35,0.45,0.12,0.49,0.73,0.5,0.04,0.6,0.54,0.15,1.0,0.82,0.55,0.45
moving-pictures.csv,0.4,0.36,0.18,0.0,0.48,0.61,1.0,0.06,0.54,0.42,0.16,0.28,0.71,0.53,0.42
pclasses.csv,1.0,0.15,0.0,0.0,0.06,0.0,0.07,0.0,0.4,0.12,0.0,0.0,0.0,0.33,0.42
pfaedit.csv,0.07,0.55,0.6,0.0,0.43,0.99,0.58,0.0,0.58,0.43,0.17,0.39,0.42,0.61,0.65
qcad2.csv,0.05,0.47,0.72,0.0,0.99,0.4,0.5,0.0,0.67,0.55,0.1,0.59,0.7,0.49,0.25
rockbox.csv,0.3,0.55,0.52,0.17,0.51,0.68,0.52,0.05,0.62,0.24,0.21,0.7,0.6,0.59,1.0
roller.csv,0.24,0.5,0.71,0.14,0.49,0.46,0.61,0.04,0.99,0.33,0.1,0.8,0.52,0.62,0.36
theresa.csv,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.09,0.0
tzod.csv,0.13,0.96,0.53,0.21,0.53,0.77,0.32,0.0,0.69,0.19,0.09,0.21,0.5,0.66,0.28
xinity.csv,0.38,0.47,0.45,0.0,0.33,0.58,0.59,0.0,0.54,0.37,0.18,0.74,0.73,1.0,0.57
zabbix.csv,0.25,0.5,0.68,0.12,0.48,0.77,0.61,0.0,0.7,0.98,0.16,0.75,0.89,0.69,0.51
