,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.64,0.67,1.0,1.0,0.81,0.83,0.68,1.0,0.87,0.62,1.0,0.65,0.67,0.8,0.79
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hannosset.csv,0.0,0.0,0.29,0.0,0.04,0.0,0.04,0.0,0.0,0.02,1.0,0.11,0.07,0.1,0.05
ipfilter.csv,1.0,0.41,0.46,1.0,0.85,0.89,0.64,1.0,0.57,0.58,0.5,1.0,0.71,0.51,0.63
moving-pictures.csv,0.73,0.37,0.1,0.0,0.62,0.48,1.0,1.0,0.55,0.6,0.67,0.17,0.56,0.51,0.47
pclasses.csv,1.0,0.11,0.0,0.0,0.04,0.0,0.04,0.0,0.29,0.11,0.0,0.0,0.0,0.22,0.37
pfaedit.csv,0.09,0.78,0.51,0.0,0.5,0.98,0.68,0.0,0.52,0.31,0.83,0.28,0.27,0.59,0.74
qcad2.csv,0.09,0.52,0.93,0.0,1.0,0.33,0.46,0.0,0.72,0.4,0.33,0.48,0.54,0.44,0.16
rockbox.csv,0.73,0.85,0.39,1.0,0.85,0.59,0.64,1.0,0.59,0.18,1.0,0.67,0.43,0.59,1.0
roller.csv,0.55,0.74,0.9,1.0,0.75,0.35,0.82,1.0,1.0,0.45,0.5,0.87,0.36,0.61,0.37
theresa.csv,0.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0
tzod.csv,0.09,0.93,0.44,0.67,0.5,0.8,0.21,0.0,0.73,0.11,0.33,0.13,0.34,0.76,0.21
xinity.csv,0.82,0.63,0.44,0.0,0.52,0.52,0.71,0.0,0.49,0.38,0.5,0.78,0.58,1.0,0.68
zabbix.csv,0.82,0.89,0.88,1.0,0.79,0.98,0.82,0.0,0.83,0.98,1.0,0.83,0.82,0.85,0.79
