,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.45,0.09,0.83,0.18,0.0,0.0
columba.csv,0.68,0.03,0.7,0.26,0.54,0.57
emftriple.csv,0.17,0.54,0.15,0.03,0.24,0.23
fluent-nhibernate.csv,0.76,0.0,0.62,0.5,0.41,0.4
gpsmid.csv,0.82,0.12,0.87,0.39,0.52,0.51
xamj.csv,0.77,0.11,0.87,0.12,0.61,0.43
