,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.7,0.26,0.65,0.31,0.42,0.54,0.35,0.31,0.33,0.53,0.41,0.52,0.71,0.36
exordium.csv,0.67,0.23,0.51,0.36,0.57,0.52,0.54,0.79,0.61,0.41,0.36,0.47,0.53,0.4
google-caja.csv,0.77,0.43,0.61,0.39,0.5,0.67,0.39,0.88,0.61,0.48,0.45,0.54,0.64,0.38
hydrogen.csv,0.76,0.0,0.66,0.34,0.0,0.65,0.5,0.85,0.59,0.37,0.58,0.56,0.77,0.34
kmess.csv,0.22,0.33,0.47,0.35,0.47,0.49,0.36,0.18,0.14,0.14,0.11,0.42,0.69,0.35
kvs.csv,0.0,0.0,0.39,0.58,0.0,0.23,0.0,0.63,0.27,0.28,0.13,0.15,0.16,0.16
megameknet.csv,0.73,0.25,0.54,0.36,0.52,0.61,0.44,0.82,0.44,0.52,0.37,0.5,0.66,0.37
ns-3-dev-def-routing.csv,0.78,0.36,0.46,0.12,0.55,0.49,0.24,0.61,0.5,0.38,0.44,0.57,0.59,0.28
open-ms.csv,0.33,0.25,0.54,0.46,0.39,0.48,0.57,0.65,0.58,0.46,0.18,0.48,0.63,0.39
openmsx.csv,0.68,0.55,0.3,0.33,0.39,0.62,0.25,0.49,0.58,0.34,0.57,0.52,0.64,0.11
rezilla.csv,0.72,0.68,0.62,0.33,0.35,0.58,0.41,0.22,0.56,0.39,0.56,0.49,0.73,0.33
sauerbraten.csv,0.81,0.49,0.65,0.34,0.42,0.63,0.24,0.53,0.56,0.37,0.58,0.54,0.75,0.34
webdriver.csv,0.81,0.16,0.54,0.26,0.56,0.74,0.37,0.34,0.52,0.49,0.36,0.52,0.64,0.41
yafdotnet.csv,0.59,0.26,0.55,0.38,0.43,0.52,0.47,0.78,0.68,0.44,0.41,0.52,0.61,0.37
