,f1,g,recall,precision,pf,wins
badtrinity-zero.csv,0.415,0.56,0.65,0.51,0.42000000000000004,7
exordium.csv,0.515,0.535,0.51,0.5,0.29,8
google-caja.csv,0.52,0.62,0.735,0.445,0.45999999999999996,12
hydrogen.csv,0.5700000000000001,0.0,1.0,0.4,1.0,1
kmess.csv,0.35,0.41000000000000003,0.365,0.45999999999999996,0.155,3
kvs.csv,0.16,0.18,0.155,0.26,0.2,0
megameknet.csv,0.51,0.6,0.695,0.46499999999999997,0.475,9
ns-3-dev-def-routing.csv,0.475,0.495,0.5700000000000001,0.42,0.52,4
open-ms.csv,0.47,0.545,0.525,0.5549999999999999,0.215,13
openmsx.csv,0.505,0.39,0.6950000000000001,0.44,0.55,5
rezilla.csv,0.525,0.54,0.77,0.46499999999999997,0.655,6
sauerbraten.csv,0.535,0.19,0.955,0.395,0.955,2
webdriver.csv,0.505,0.5700000000000001,0.545,0.51,0.28500000000000003,11
yafdotnet.csv,0.495,0.5700000000000001,0.56,0.53,0.315,10
