,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.47,0.5,0.42,0.41,0.15,0.2,0.34,0.73,0.51,0.3,0.17,0.26,0.39,0.58
baadengine.csv,0.17,1.0,0.9,0.51,1.0,0.79,0.97,0.88,0.93,0.8,0.97,0.99,0.9,0.43
bnetd.csv,0.6,0.75,0.72,0.6,0.13,0.91,0.17,0.81,0.26,0.3,0.97,0.78,0.57,0.75
impala.csv,0.15,0.0,0.7,0.81,0.6,0.98,0.83,0.37,0.61,0.61,0.8,0.23,0.56,0.23
jaxen.csv,0.97,0.5,0.72,0.89,0.62,0.09,0.54,0.75,0.74,0.78,0.93,0.8,0.69,0.68
jgameai.csv,0.0,0.0,0.06,0.35,0.03,0.02,0.31,0.04,0.13,0.09,0.03,0.04,0.23,0.23
jparsec.csv,0.58,1.0,0.57,0.32,1.0,0.52,0.94,0.55,0.89,0.78,0.87,0.69,0.87,0.28
motu.csv,0.31,1.0,0.87,0.19,0.04,0.99,0.17,0.88,0.48,0.28,0.8,0.87,0.53,0.96
vars-redux.csv,0.26,0.75,0.61,0.33,0.57,0.62,0.37,0.31,0.51,0.39,0.57,0.84,0.64,0.74
werx.csv,0.99,0.0,1.0,0.98,1.0,0.79,0.94,0.9,1.0,0.96,1.0,0.96,0.99,1.0
wishmaster.csv,0.36,0.0,0.14,0.05,0.01,0.11,0.03,0.69,0.26,0.07,0.27,0.3,0.3,0.09
xreal.csv,0.11,0.0,0.22,0.14,0.04,0.0,0.09,0.19,0.05,0.15,0.13,0.28,0.01,0.03
zealos.csv,0.03,0.25,0.17,0.21,0.35,0.1,0.06,0.58,0.05,0.09,0.33,0.03,0.35,0.23
