,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.34,0.33,0.48,0.97
miranda-icq.csv,0.55,0.37,0.9,0.46
red5.csv,1.0,0.21,0.32,0.54
thrust.csv,0.3,0.85,0.48,0.47
