,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.25,0.27,0.33,0.06,0.43,0.0,0.32,0.61,0.3,0.81,0.76,0.07,0.0,0.53,0.91
atlc.csv,0.69,0.85,0.67,1.0,0.38,0.65,0.85,0.22,0.6,0.25,0.54,0.81,1.0,0.68,0.54
bwapi.csv,1.0,0.98,1.0,1.0,1.0,1.0,0.96,0.78,1.0,0.8,0.72,1.0,1.0,0.81,0.46
cubefs.csv,0.69,1.0,1.0,0.29,0.84,1.0,0.59,0.69,0.9,0.08,0.41,0.07,0.13,0.55,1.0
freewrl.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.87,0.64,1.0,1.0,1.0,0.63,0.8,0.96,1.0
iaml.csv,0.12,0.61,0.0,0.0,0.35,0.57,0.69,0.13,0.3,0.17,0.5,0.26,0.33,0.55,0.46
jrdf.csv,0.25,0.61,0.0,0.24,0.41,0.96,0.62,0.25,0.1,0.0,0.04,0.04,0.6,0.32,0.06
kwave.csv,0.56,1.0,1.0,0.0,0.92,1.0,0.66,0.18,0.9,0.22,0.87,0.0,0.67,0.87,1.0
oscarmcmaster.csv,0.44,0.68,0.67,0.47,0.59,0.57,0.34,0.27,0.1,0.21,0.63,0.04,0.8,0.6,0.86
rtrt-on-gpu.csv,0.31,0.83,0.33,0.71,0.86,0.78,0.63,0.18,0.7,0.4,0.17,0.22,0.8,0.32,0.37
theresa.csv,0.31,0.37,1.0,0.0,0.43,0.74,0.19,0.26,0.5,0.15,0.43,0.37,0.33,0.45,0.51
thrust.csv,0.12,0.56,0.0,0.76,0.14,0.57,0.24,0.23,0.0,0.53,0.22,0.15,0.2,0.13,0.46
tktoolkit.csv,0.75,0.68,0.67,0.41,0.73,0.57,0.26,0.82,1.0,0.9,0.78,0.04,0.33,0.85,1.0
xstore.csv,0.38,0.88,1.0,0.0,0.19,0.87,0.3,0.34,0.2,0.14,0.76,0.07,0.2,0.57,0.63
yaprm.csv,0.38,0.0,0.67,0.29,0.68,0.39,0.54,0.56,0.4,0.07,0.26,1.0,0.6,0.45,0.0
