,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.12,0.13,0.5,0.5,0.96
encog-java.csv,0.98,0.46,0.42,0.48,0.0
h2database.csv,0.17,1.0,0.27,0.51,0.57
jaql.csv,0.19,0.17,0.4,0.98,0.44
raven-monitoring.csv,0.09,0.09,1.0,0.4,0.36
