,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.5,0.59,0.42,0.27,0.17,0.5,0.0,0.22,0.66,0.1
clamav.csv,0.57,0.59,0.51,0.55,0.5,0.76,0.73,0.19,0.9,0.62
dvd-create.csv,0.5,0.75,0.6,0.41,0.17,0.64,0.0,0.64,0.79,0.59
gbif-indexingtoolkit.csv,0.6,0.52,0.22,0.5,0.0,0.28,0.0,0.64,0.28,0.35
go.csv,0.77,0.84,0.22,0.39,0.28,0.76,0.0,0.19,0.59,0.4
kwave.csv,0.57,1.0,1.0,0.21,1.0,0.76,0.02,1.0,0.62,1.0
libarchive.csv,0.63,0.82,0.69,0.43,0.56,0.94,0.73,0.53,0.79,0.25
liferea.csv,0.2,0.36,0.22,0.27,0.61,0.48,0.29,0.11,0.24,0.43
linux-ntfs.csv,0.4,0.3,0.4,0.57,0.33,0.46,0.1,0.36,0.55,0.24
mpgravity.csv,0.87,0.98,0.33,0.79,0.89,0.94,0.22,0.89,0.97,0.94
