,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.39,0.31,0.42,0.55,0.47,0.42,0.0,0.75,0.37,0.57
clamav.csv,0.35,0.29,0.37,0.38,0.36,0.37,0.35,0.43,0.36,0.4
dvd-create.csv,0.45,0.27,0.43,0.48,0.41,0.35,0.0,0.36,0.39,0.53
gbif-indexingtoolkit.csv,0.47,0.5,0.96,0.62,0.89,0.67,0.0,0.52,0.71,0.53
go.csv,0.44,0.3,0.44,0.5,0.49,0.39,0.0,0.6,0.39,0.54
kwave.csv,0.42,0.33,0.4,0.75,0.39,0.31,0.0,0.39,0.39,0.44
libarchive.csv,0.35,0.25,0.36,0.39,0.32,0.34,0.33,0.32,0.33,0.43
liferea.csv,0.49,0.44,0.56,0.5,0.45,0.43,0.76,0.78,0.53,0.49
linux-ntfs.csv,0.34,0.56,0.38,0.38,0.35,0.38,0.8,0.4,0.36,0.45
mpgravity.csv,0.4,0.32,0.44,0.38,0.39,0.36,0.71,0.38,0.38,0.45
