,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.69,0.77,0.76,0.31,0.57,0.55,0.0,0.2,0.62,0.47
clamav.csv,0.71,0.92,0.73,0.56,0.74,0.45,0.83,0.8,0.81,0.88
dvd-create.csv,0.53,0.85,0.82,0.5,0.81,0.73,0.0,0.95,0.81,0.69
gbif-indexingtoolkit.csv,0.72,0.69,0.2,0.38,0.12,0.64,0.0,0.5,0.35,0.63
go.csv,0.82,1.0,0.77,0.62,0.49,0.73,0.0,0.4,0.73,0.78
kwave.csv,0.77,1.0,1.0,0.5,1.0,0.91,0.0,1.0,0.77,1.0
libarchive.csv,0.83,0.92,0.9,0.44,0.72,0.82,0.83,0.9,0.73,0.61
liferea.csv,0.45,0.85,0.44,0.31,0.57,0.36,0.42,0.25,0.38,0.65
linux-ntfs.csv,0.64,0.38,0.67,0.5,0.69,0.55,0.08,0.6,0.65,0.53
mpgravity.csv,1.0,1.0,0.71,0.69,0.86,1.0,0.67,0.9,0.96,0.94
