,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.64,0.65,0.72,0.35,0.61,0.54,0.0,0.23,0.53,0.52
clamav.csv,0.63,0.74,0.66,0.53,0.68,0.38,0.59,0.8,0.33,0.7
dvd-create.csv,0.52,0.57,0.68,0.52,0.81,0.61,0.0,0.72,0.52,0.61
gbif-indexingtoolkit.csv,0.62,0.63,0.23,0.4,0.15,0.65,0.0,0.46,0.39,0.63
go.csv,0.54,0.49,0.77,0.62,0.52,0.52,0.0,0.45,0.63,0.74
kwave.csv,0.66,0.0,0.0,0.54,0.0,0.58,0.0,0.0,0.64,0.0
libarchive.csv,0.66,0.5,0.65,0.46,0.64,0.23,0.59,0.76,0.49,0.63
liferea.csv,0.49,0.8,0.48,0.35,0.52,0.38,0.46,0.29,0.42,0.63
linux-ntfs.csv,0.63,0.42,0.65,0.48,0.69,0.55,0.1,0.61,0.6,0.56
mpgravity.csv,0.43,0.09,0.7,0.47,0.36,0.24,0.69,0.37,0.13,0.24
