,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.67,0.17,0.56,0.28,0.04,0.0,1.0,0.15,0.03,0.29,0.43,1.0,0.0,0.71,0.06,1.0,0.0
arm-webradio.csv,0.0,0.1,0.0,0.15,0.29,0.82,0.0,0.0,0.76,0.26,0.0,0.0,0.83,0.0,0.81,0.0,0.89
codepurge.csv,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.75,0.0,0.0
fw4spl.csv,0.0,0.12,0.17,0.34,0.18,0.73,0.0,0.04,0.49,0.15,0.0,0.0,0.92,0.0,0.56,0.0,0.4
glas.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.96,0.0,1.0,0.0,0.0
grisbi.csv,0.86,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.0,1.0,0.95,1.0,0.55,1.0
gwanted.csv,0.0,0.0,0.0,0.03,0.25,0.82,0.0,0.0,0.46,0.12,0.0,0.0,0.5,0.0,1.0,0.0,0.0
lcfizvtop.csv,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0
ldview.csv,0.67,0.1,0.28,0.08,0.11,0.0,0.8,0.27,0.03,0.25,0.43,1.0,0.0,0.63,0.03,1.0,0.0
libmesh.csv,0.0,0.08,0.0,0.02,0.0,0.18,0.02,0.54,0.0,0.04,0.0,0.57,0.0,0.41,0.06,0.03,0.0
mediaportal.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
olex2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oppna-program-hsatools.csv,0.0,0.17,0.89,0.99,0.96,1.0,0.0,0.12,0.97,0.96,0.14,0.0,1.0,0.0,1.0,0.0,0.89
qlc.csv,0.29,0.06,0.28,0.28,0.21,0.0,0.7,0.08,0.05,0.35,0.57,1.0,0.0,0.2,0.12,0.77,0.0
somap.csv,1.0,1.0,1.0,1.0,0.86,0.36,1.0,1.0,0.68,0.99,1.0,1.0,0.58,1.0,0.19,1.0,1.0
wxcode.csv,0.19,0.0,0.0,0.0,0.14,0.09,0.06,0.0,0.03,0.0,0.86,0.0,0.0,0.0,0.0,0.05,0.03
xcf.csv,0.33,0.46,0.72,0.57,0.64,0.64,0.77,0.27,0.68,0.62,0.71,0.0,0.5,0.41,0.81,0.37,0.14
