,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.67,0.21,0.33,0.42,0.05,0.0,0.91,0.21,0.05,0.43,0.27,0.32,0.0,0.72,0.11,0.63,0.0
arm-webradio.csv,0.0,0.15,0.0,0.25,0.31,0.37,0.0,0.0,0.57,0.42,0.0,0.0,0.28,0.0,0.65,0.0,0.86
codepurge.csv,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.62,0.0,0.0
fw4spl.csv,0.0,0.21,0.19,0.49,0.23,0.38,0.0,0.07,0.47,0.26,0.0,0.0,0.3,0.0,0.62,0.0,0.51
glas.csv,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.72,0.0,0.0,0.0,0.25,0.0,0.68,0.0,0.0
grisbi.csv,0.47,0.23,0.24,0.9,0.29,0.31,0.92,0.53,0.57,0.96,0.16,0.0,0.25,0.53,0.68,0.53,0.42
gwanted.csv,0.0,0.0,0.0,0.05,0.34,0.41,0.0,0.0,0.48,0.22,0.0,0.0,0.31,0.0,0.68,0.0,0.0
lcfizvtop.csv,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0
ldview.csv,0.7,0.15,0.34,0.15,0.12,0.0,0.8,0.37,0.05,0.39,0.46,0.32,0.0,0.63,0.05,0.63,0.0
libmesh.csv,0.0,0.05,0.0,0.04,0.0,0.14,0.03,0.57,0.0,0.08,0.0,0.29,0.0,0.42,0.11,0.06,0.0
mediaportal.csv,0.53,0.23,0.24,0.9,0.29,0.31,0.9,0.53,0.57,0.96,0.16,0.0,0.25,0.55,0.68,0.63,0.42
olex2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oppna-program-hsatools.csv,0.0,0.11,0.23,0.98,0.35,0.32,0.0,0.14,0.59,0.94,0.17,0.0,0.25,0.0,0.68,0.0,0.39
qlc.csv,0.4,0.1,0.42,0.41,0.19,0.0,0.75,0.11,0.1,0.5,0.53,0.32,0.0,0.28,0.19,0.63,0.0
somap.csv,0.53,0.23,0.24,0.91,0.26,0.21,0.9,0.53,0.61,0.98,0.16,0.32,0.24,0.55,0.27,0.63,0.42
wxcode.csv,0.32,0.0,0.0,0.0,0.21,0.17,0.11,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.09,0.04
xcf.csv,0.45,0.34,0.36,0.69,0.32,0.4,0.85,0.26,0.57,0.75,0.37,0.0,0.28,0.52,0.85,0.49,0.23
