,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.73,0.92,0.76,0.43,0.89,0.87,0.88,0.96,0.92
flylegacy.csv,0.6,0.7,0.43,0.7,0.73,0.86,0.63,0.83,0.97
ftm.csv,0.81,0.88,0.66,0.72,0.91,0.87,0.41,0.85,0.46
jguard.csv,0.89,0.68,0.82,0.81,0.75,0.44,0.92,0.76,1.0
m-a-d-n-e-s-s.csv,0.72,0.97,0.74,0.76,0.96,1.0,0.38,0.93,0.69
mob-sen-plat.csv,0.82,0.29,0.83,0.66,0.61,0.83,0.51,0.73,0.72
raygina.csv,0.44,1.0,0.71,0.72,0.86,0.76,0.74,0.69,0.95
upp-mirror.csv,0.76,0.88,0.69,0.53,0.52,0.66,0.57,0.82,0.79
yarp.csv,0.8,0.94,0.8,0.96,1.0,0.83,0.8,0.45,0.96
