,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.53,0.91,0.57,0.31
img-browse-sort.csv,0.7,0.85,0.47,0.5
pcsx2.csv,0.68,0.82,0.48,0.29
xstore.csv,0.73,0.76,0.42,0.29
