,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.41,0.44,0.63,0.49,0.86,0.64,0.35,0.39,0.76,0.69,0.0,0.15
archive-crawler.csv,0.43,0.24,0.14,0.32,0.14,0.24,0.22,0.22,0.19,0.0,0.3,0.34
blue-c.csv,0.74,0.4,0.38,0.32,0.59,0.08,0.24,0.37,0.4,0.53,0.43,0.5
dynalloy.csv,0.17,0.0,0.57,0.47,0.41,0.44,0.16,0.08,0.3,0.53,0.43,0.99
jcae.csv,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.0
kmatplot.csv,0.0,0.22,0.19,0.15,0.02,0.12,0.11,0.08,0.16,0.2,0.17,0.19
mscore.csv,0.5,0.54,0.54,0.47,0.32,0.2,0.01,0.27,0.38,0.58,0.73,0.57
nosleepsoftware.csv,0.06,0.11,0.25,0.02,0.0,0.2,0.21,0.06,0.02,0.05,0.07,0.24
openmalaria.csv,0.57,0.59,0.77,0.4,0.05,0.24,0.48,0.0,0.48,0.53,0.77,0.65
popeye-chess.csv,0.61,0.38,0.81,0.47,0.02,0.28,0.31,0.24,0.53,0.6,0.8,0.69
riff-evolve.csv,0.24,0.36,0.3,0.34,0.09,0.36,0.39,0.27,0.01,0.24,0.23,0.95
virtuoso.csv,0.61,0.9,0.87,1.0,0.0,1.0,0.61,0.76,0.83,0.53,0.53,0.0
