,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.44,0.58,0.42,0.69,0.5,0.94,0.37,0.5,0.39,0.08,0.3,0.86,0.5,0.97
bibedt.csv,0.36,0.67,0.3,0.3,0.17,0.44,0.31,0.9,0.29,0.08,0.0,0.14,0.29,0.63
brlcad.csv,0.94,0.83,0.88,1.0,0.89,0.62,0.26,0.9,0.9,1.0,1.0,1.0,0.76,0.23
co-ode-owl-plugins.csv,0.05,0.58,0.33,0.94,0.89,0.81,0.06,0.0,0.48,0.69,0.65,0.86,0.36,0.77
firebreath.csv,0.94,0.75,0.98,0.39,0.72,0.69,0.64,0.6,0.42,0.54,0.19,0.57,0.55,0.54
fltk.csv,0.48,0.92,0.47,0.99,0.06,0.62,0.46,0.5,0.39,0.62,0.11,0.43,0.24,0.2
glas.csv,0.59,0.17,0.33,0.21,0.11,0.19,0.33,0.2,0.32,0.0,1.0,0.29,0.38,0.17
gretl.csv,0.88,0.92,0.95,0.65,0.83,0.94,0.99,0.7,0.81,1.0,0.81,0.57,0.69,0.74
konversation.csv,0.02,0.92,0.05,0.19,0.0,0.19,0.02,0.0,0.06,0.0,0.0,0.29,0.1,0.29
micomt.csv,0.06,0.58,0.28,0.35,0.39,0.31,0.09,0.1,0.06,0.77,0.03,0.14,0.21,0.0
openxava.csv,0.41,0.67,0.33,0.46,0.5,1.0,0.12,0.5,0.16,0.15,0.57,0.43,0.38,0.4
sumatrapdf.csv,0.86,0.92,0.42,0.84,0.28,0.94,0.72,0.5,1.0,0.31,0.49,1.0,0.62,1.0
tweetsharp.csv,0.59,0.83,0.67,0.64,0.72,0.31,0.42,0.6,0.39,0.46,0.81,0.43,1.0,0.57
wxcode.csv,0.06,0.5,0.02,0.07,0.0,0.0,0.08,0.0,0.06,0.0,0.0,1.0,0.0,0.0
