,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.27,0.29,0.5,0.7,0.36,0.1,0.88,0.56,0.44,0.17,0.46,0.17,0.81,0.97
bibedt.csv,0.42,0.31,0.64,0.77,0.27,0.19,0.92,1.0,0.69,0.14,0.0,0.2,0.86,0.38
brlcad.csv,1.0,0.12,0.37,0.58,0.17,0.08,0.86,0.2,0.34,0.21,0.4,0.09,0.76,0.12
co-ode-owl-plugins.csv,0.07,0.35,0.47,0.62,1.0,0.09,0.75,0.0,0.45,0.31,0.46,0.18,0.79,0.59
firebreath.csv,0.27,0.16,1.0,0.49,0.22,0.1,0.88,0.24,0.42,0.26,0.35,0.1,0.79,0.22
fltk.csv,0.22,0.21,0.56,0.99,0.06,0.11,0.92,0.5,0.71,0.5,0.4,0.17,0.83,0.29
glas.csv,0.3,0.06,0.43,0.51,0.04,0.08,0.87,0.11,0.26,0.0,0.97,0.08,0.8,0.24
gretl.csv,0.26,0.15,0.39,0.63,0.18,0.11,0.98,0.23,0.42,0.19,0.43,0.09,0.72,0.39
konversation.csv,0.33,1.0,0.6,0.68,0.0,0.6,0.75,0.0,1.0,0.0,0.0,0.25,1.0,0.91
micomt.csv,0.51,0.37,0.61,0.84,0.15,0.07,1.0,0.33,1.0,1.0,0.33,0.25,0.9,0.0
openxava.csv,0.3,0.21,0.37,0.54,0.13,1.0,0.81,0.22,0.33,0.07,0.62,0.12,0.62,0.48
sumatrapdf.csv,0.25,0.22,0.38,0.62,0.16,0.1,0.83,0.23,1.0,0.17,0.36,0.13,0.81,0.28
tweetsharp.csv,0.24,0.19,0.39,0.62,0.35,0.33,0.75,0.25,0.29,0.14,0.39,0.06,1.0,0.39
wxcode.csv,0.25,0.67,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
