,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.47,0.61,0.46,0.67,0.54,0.09,0.41,0.55,0.43,0.1,0.34,0.79,0.53,0.97
bibedt.csv,0.41,0.69,0.35,0.35,0.2,0.48,0.36,0.92,0.34,0.1,0.0,0.17,0.33,0.63
brlcad.csv,0.95,0.48,0.2,0.13,0.45,0.28,0.3,0.35,0.09,0.47,0.0,0.33,0.6,0.25
co-ode-owl-plugins.csv,0.06,0.62,0.37,0.61,0.91,0.17,0.07,0.0,0.51,0.68,0.61,0.8,0.4,0.78
firebreath.csv,0.46,0.67,0.98,0.4,0.67,0.47,0.62,0.59,0.45,0.56,0.22,0.56,0.56,0.47
fltk.csv,0.47,0.8,0.51,0.99,0.07,0.55,0.5,0.55,0.44,0.66,0.13,0.47,0.28,0.24
glas.csv,0.58,0.2,0.37,0.24,0.13,0.22,0.37,0.23,0.34,0.0,1.0,0.33,0.42,0.2
gretl.csv,0.5,0.64,0.24,0.61,0.58,0.21,0.97,0.61,0.66,0.13,0.58,0.54,0.53,0.7
konversation.csv,0.02,0.93,0.06,0.23,0.0,0.23,0.02,0.0,0.07,0.0,0.0,0.34,0.12,0.34
micomt.csv,0.07,0.62,0.32,0.4,0.41,0.33,0.11,0.12,0.07,0.81,0.04,0.17,0.25,0.0
openxava.csv,0.45,0.67,0.37,0.47,0.46,1.0,0.14,0.51,0.19,0.18,0.6,0.47,0.37,0.45
sumatrapdf.csv,0.42,0.82,0.44,0.63,0.32,0.0,0.56,0.52,1.0,0.35,0.47,0.78,0.62,0.27
tweetsharp.csv,0.54,0.75,0.56,0.6,0.72,0.36,0.4,0.59,0.4,0.44,0.43,0.41,1.0,0.59
wxcode.csv,0.07,0.55,0.02,0.09,0.0,0.0,0.1,0.0,0.07,0.0,0.0,1.0,0.0,0.0
