,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.62,0.07,0.73,0.94,0.79,0.83,0.81,0.52,1.0,0.9,0.79,0.86
freedom-erp.csv,0.75,1.0,0.75,1.0,1.0,1.0,0.03,1.0,0.94,1.0,1.0,1.0
javaprofiler.csv,0.74,0.8,0.73,0.53,0.8,0.79,0.61,0.71,0.44,0.87,0.85,0.03
jmoney.csv,0.05,0.85,0.69,0.84,0.93,0.94,0.46,0.9,0.77,0.84,0.84,0.95
jsidplay2.csv,0.47,0.83,0.0,0.62,0.88,0.69,0.99,0.89,0.73,0.75,0.63,0.81
reaper3d.csv,0.92,1.0,0.89,0.89,0.78,1.0,1.0,0.12,1.0,0.57,1.0,0.76
servicestack.csv,0.75,0.68,0.54,0.72,0.78,0.69,0.64,0.58,0.06,0.83,0.71,0.54
springside.csv,0.58,0.73,0.39,0.0,0.84,0.85,0.55,0.67,0.73,0.91,0.78,0.99
swtfox.csv,0.95,0.83,0.93,0.86,0.03,0.65,0.99,0.93,0.89,0.89,0.68,0.6
synecdoche.csv,0.86,0.75,0.59,0.8,0.75,0.67,0.66,0.91,0.61,0.8,0.03,0.77
tmva.csv,0.48,0.81,0.48,0.55,0.88,0.03,0.59,0.53,0.6,0.89,0.74,0.82
wsmt.csv,0.99,0.76,0.93,0.9,0.78,0.9,1.0,1.01,0.77,0.03,0.86,0.71
