,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.64,0.56,0.71,0.88,0.79,0.75,0.96,0.79,0.0,0.45,0.45,0.92
freedom-erp.csv,0.8,0.0,0.71,0.0,0.5,0.0,0.42,0.0,0.0,0.0,0.0,0.5
javaprofiler.csv,0.4,0.4,0.45,0.52,0.37,0.46,0.33,0.4,0.48,0.4,0.51,0.48
jmoney.csv,0.53,0.86,0.62,0.95,0.74,0.9,0.52,0.76,0.86,0.43,0.91,0.86
jsidplay2.csv,0.35,0.85,0.41,0.56,0.41,0.92,0.34,0.4,0.53,0.47,0.86,0.58
reaper3d.csv,0.94,0.0,0.81,0.6,0.94,0.0,0.0,0.86,0.0,0.6,0.0,0.59
servicestack.csv,0.42,0.53,0.48,0.64,0.4,0.5,0.48,0.59,0.75,0.4,0.88,0.52
springside.csv,0.41,0.56,0.4,0.59,0.41,0.64,0.31,0.4,0.64,0.59,0.8,0.66
swtfox.csv,0.75,0.92,0.96,0.78,0.72,0.76,0.96,0.94,0.94,0.92,0.8,0.67
synecdoche.csv,0.86,0.86,0.63,0.95,0.9,0.85,0.46,0.8,0.73,0.93,0.61,0.53
tmva.csv,0.38,0.47,0.43,0.5,0.43,0.53,0.39,0.4,0.42,0.5,0.54,0.54
wsmt.csv,0.92,0.94,0.93,0.97,0.93,0.97,0.0,0.93,0.84,0.59,0.93,0.8
