,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.45,0.94,0.32,0.07,0.26,0.2,0.24,0.54,0.0,0.26,0.32,0.18
freedom-erp.csv,0.29,0.0,0.29,0.0,0.0,0.0,0.98,0.0,0.07,0.0,0.0,0.0
javaprofiler.csv,0.59,0.54,0.51,0.62,0.52,0.54,0.65,0.56,0.7,0.45,0.43,0.98
jmoney.csv,0.96,0.18,0.37,0.19,0.12,0.07,0.6,0.14,0.28,0.29,0.2,0.06
jsidplay2.csv,0.79,0.29,1.0,0.55,0.44,0.38,0.13,0.38,0.58,0.55,0.45,0.45
reaper3d.csv,0.18,0.0,0.35,0.43,0.26,0.0,0.0,0.9,0.0,0.62,0.0,0.53
servicestack.csv,0.55,0.47,0.63,0.47,0.56,0.56,0.47,0.53,0.95,0.44,0.35,0.55
springside.csv,0.6,0.48,0.68,1.0,0.45,0.32,0.77,0.58,0.33,0.32,0.28,0.26
swtfox.csv,0.06,0.22,0.25,0.41,0.98,0.5,0.07,0.14,0.21,0.17,0.47,0.57
synecdoche.csv,0.18,0.34,0.48,0.24,0.34,0.39,0.57,0.14,0.46,0.27,0.98,0.46
tmva.csv,0.74,0.47,0.58,0.6,0.43,0.98,0.61,0.69,0.55,0.35,0.41,0.44
wsmt.csv,0.06,0.3,0.17,0.19,0.26,0.13,0.0,0.0,0.33,0.98,0.2,0.41
