,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.59,0.43,0.51,0.72,0.37,0.65
aztec.csv,0.52,0.8,0.85,0.89,0.44,0.38
mplayer-ce.csv,0.45,0.75,0.6,0.41,0.34,0.54
qmmp.csv,0.45,0.46,0.43,0.55,0.34,0.38
synergyspace.csv,0.91,0.97,0.75,0.94,0.98,0.73
xtreemfs.csv,0.48,0.58,0.53,0.71,0.36,0.37
