,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.73,1.0,0.62,0.27,0.85,0.42
aztec.csv,0.73,0.79,0.12,0.1,0.75,0.81
mplayer-ce.csv,0.86,0.29,0.73,0.67,0.91,0.56
qmmp.csv,0.82,0.62,0.65,0.67,0.87,0.92
synergyspace.csv,0.18,0.08,0.62,0.17,0.14,0.46
xtreemfs.csv,1.0,0.88,0.65,0.48,0.89,1.0
