,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.54,0.51,0.53,0.78,0.82,0.85,1.0,0.53,0.1,0.85,0.11,0.0,0.7,0.6
cme.csv,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.0,0.09,1.0
hydrate.csv,0.11,0.18,0.73,0.0,0.7,0.0,0.15,0.59,0.07,0.18,0.36,0.29,0.4,0.67,1.0
ivef-sdk.csv,0.72,0.33,0.6,0.8,0.48,1.0,0.24,0.05,0.87,0.79,0.52,0.11,0.4,0.0,0.8
jmri.csv,0.42,0.28,0.6,0.17,0.15,0.57,0.52,0.68,0.57,0.44,0.39,0.17,0.2,0.24,1.0
jython.csv,0.45,0.25,0.17,0.57,0.07,0.85,0.94,0.86,0.47,0.13,0.45,0.2,0.4,0.64,0.2
kdenlive.csv,0.79,0.67,0.54,0.57,0.74,0.48,0.27,0.95,0.97,0.85,0.91,0.54,0.4,0.88,1.0
ninject.csv,0.18,0.3,0.45,0.4,0.22,0.54,0.45,0.09,0.1,0.0,0.15,0.46,1.0,0.64,0.2
ondex.csv,0.45,0.28,0.64,0.47,0.11,0.09,0.18,0.82,0.3,0.23,0.45,0.06,0.6,0.39,0.6
opentibia.csv,0.34,0.78,0.4,0.37,0.48,0.04,0.85,0.5,0.03,0.0,0.27,0.86,0.4,0.79,0.0
projectfactory.csv,0.38,0.34,0.44,0.07,0.63,0.06,0.48,1.0,0.57,0.59,0.42,0.51,0.6,0.73,0.8
taverna.csv,0.23,0.23,0.09,0.17,0.67,0.1,0.7,0.36,0.2,0.38,0.27,0.63,0.0,0.09,0.0
tigermud.csv,0.38,0.47,0.71,0.4,0.48,0.34,0.06,0.41,0.1,0.13,0.3,0.74,1.0,0.79,0.0
unbvision.csv,0.58,0.37,0.57,0.2,0.33,0.15,0.36,0.77,0.77,0.62,0.91,0.2,0.8,0.45,1.0
x-ray-mule.csv,0.14,0.08,0.05,0.83,0.48,0.0,0.0,0.05,0.57,0.64,0.36,0.26,0.2,0.06,0.0
