,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.51,0.83,0.51,0.73,0.32,0.71,0.9,0.13,0.22,0.8,0.17,0.8,0.0,0.61,0.12
cme.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.83
hydrate.csv,1.0,0.94,0.5,0.0,0.4,0.0,0.33,0.48,0.5,0.44,0.14,0.83,1.0,0.73,0.19
ivef-sdk.csv,0.68,0.93,0.52,0.83,0.28,1.0,0.28,1.0,0.28,0.48,0.17,0.8,0.05,0.0,0.11
jmri.csv,0.86,0.96,0.63,0.33,0.13,0.97,0.46,0.47,0.53,0.59,0.22,0.75,0.17,0.62,0.09
jython.csv,0.6,0.78,0.67,0.68,0.14,0.71,0.48,0.48,0.31,0.83,0.27,0.78,0.07,0.58,0.05
kdenlive.csv,0.81,0.92,0.52,0.57,0.43,0.56,0.38,0.12,0.36,0.51,0.19,0.68,0.06,0.71,0.13
ninject.csv,0.38,0.78,0.45,0.63,0.22,0.59,0.65,0.02,0.09,0.0,0.08,1.0,0.33,0.68,0.05
ondex.csv,0.89,0.96,0.56,0.54,0.15,0.46,0.3,0.13,0.53,0.56,0.28,0.5,0.25,0.62,0.07
opentibia.csv,0.73,0.97,0.56,0.65,0.36,0.75,0.5,0.26,0.5,0.0,0.19,0.6,0.25,0.67,0.0
projectfactory.csv,0.75,0.97,0.53,0.4,0.41,0.67,0.47,0.13,0.34,0.57,0.24,0.6,0.21,0.73,0.13
taverna.csv,0.89,0.9,0.61,0.42,0.58,0.47,0.62,0.06,0.38,0.54,0.22,0.58,0.0,0.6,0.0
tigermud.csv,0.51,0.83,0.44,0.63,0.39,0.92,0.25,0.08,0.21,0.36,0.14,0.7,0.22,0.63,0.0
unbvision.csv,0.8,0.94,0.53,0.43,0.28,0.27,0.38,0.57,0.46,0.47,0.21,0.7,0.14,0.94,0.09
x-ray-mule.csv,0.53,1.0,0.26,0.86,0.34,0.0,0.0,0.5,0.2,0.47,0.22,0.9,0.11,0.67,0.0
