,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.72,0.75,0.43,0.3,0.83,0.77,0.09,0.99,0.66,0.02,0.82,0.05,0.22,0.79,0.44
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.19,0.05,0.16,0.02
hydrate.csv,0.0,0.08,0.65,0.0,0.53,0.13,0.29,0.09,0.02,0.21,0.45,0.1,0.0,0.42,0.42
ivef-sdk.csv,0.62,0.17,0.5,0.25,0.62,0.0,0.6,0.0,0.79,0.77,0.52,0.05,0.75,0.0,0.6
jmri.csv,0.13,0.08,0.31,0.5,0.49,0.03,0.57,0.11,0.18,0.28,0.28,0.1,0.09,0.26,0.92
jython.csv,0.54,0.5,0.07,0.4,0.23,0.77,0.94,0.14,0.36,0.02,0.25,0.1,0.49,0.79,0.37
kdenlive.csv,0.33,0.42,0.44,0.65,0.51,0.83,0.43,0.99,0.6,0.74,0.77,0.43,0.58,0.63,0.65
ninject.csv,0.54,0.58,0.49,0.35,0.4,0.83,0.23,0.63,0.38,0.09,0.36,0.0,0.18,0.53,0.37
ondex.csv,0.1,0.08,0.44,0.6,0.32,0.23,0.4,0.84,0.09,0.16,0.23,0.1,0.16,0.42,0.77
opentibia.csv,0.23,0.17,0.28,0.3,0.43,0.03,0.8,0.22,0.01,0.02,0.24,0.95,0.11,0.68,0.27
projectfactory.csv,0.23,0.08,0.34,0.15,0.45,0.07,0.51,1.0,0.39,0.4,0.27,0.57,0.2,0.47,0.5
taverna.csv,0.05,0.17,0.05,0.35,0.25,0.27,0.4,0.86,0.12,0.3,0.19,0.76,0.07,0.11,0.25
tigermud.csv,0.67,0.67,0.79,0.35,0.38,0.07,0.17,0.74,0.13,0.21,0.36,0.52,0.33,0.79,0.25
unbvision.csv,0.26,0.17,0.46,0.4,0.43,0.9,0.57,0.09,0.32,0.63,0.71,0.14,0.44,0.05,0.96
x-ray-mule.csv,0.23,0.0,0.12,0.2,0.47,0.0,0.2,0.01,0.79,0.65,0.26,0.05,0.15,0.05,0.04
